relationship_id,person_id_a,person_id_b,relationship_type,case_id
REL00127,P00601,P01584,facilitator,CASE0032
REL00128,P00094,P01183,business_partner,CASE0079
REL00129,P00458,P00094,family,CASE0209
REL00130,P01555,P00394,associate,CASE0142
REL00131,P00207,P01781,business_partner,CASE0008
REL00132,P00179,P01302,business_partner,CASE0029
REL00133,P01386,P00920,facilitator,CASE0230
REL00134,P00690,P00408,family,CASE0052
REL00135,P00779,P01443,employer,CASE0007
REL00136,P00748,P00448,facilitator,CASE0216
REL00137,P01653,P01709,tenant,CASE0108
REL00138,P01961,P01709,family,CASE0077
REL00139,P01288,P01517,employer,CASE0083
REL00140,P00593,P01288,family,CASE0240
REL00141,P01509,P00601,tenant,CASE0212
REL00142,P01117,P00207,family,CASE0107
REL00143,P01993,P00477,business_partner,CASE0041
REL00144,P01919,P00941,employer,CASE0038
REL00145,P00564,P00452,employer,CASE0024
REL00146,P01651,P00601,associate,CASE0131
REL00147,P00408,P01386,facilitator,CASE0105
REL00148,P00920,P00502,facilitator,CASE0024
REL00149,P01373,P01443,family,CASE0150
REL00150,P00014,P00199,business_partner,CASE0200
REL00151,P00542,P00601,associate,CASE0018
REL00152,P01814,P00690,associate,CASE0027
REL00153,P00736,P00256,facilitator,CASE0187
REL00154,P00728,P01709,associate,CASE0055
REL00155,P00089,P01658,associate,CASE0186
REL00156,P00866,P01519,business_partner,CASE0222
REL00157,P00865,P00542,facilitator,CASE0026
REL00158,P01237,P00502,associate,CASE0172
REL00159,P00441,P00741,tenant,CASE0009
REL00160,P01467,P01509,business_partner,CASE0181
REL00161,P01709,P00741,facilitator,CASE0226
REL00162,P00865,P01207,facilitator,CASE0042
REL00163,P01775,P00860,tenant,CASE0022
REL00164,P00162,P01709,associate,CASE0232
REL00165,P00062,P00601,associate,CASE0065
REL00166,P00741,P01736,associate,CASE0116
REL00167,P00697,P01443,associate,CASE0106
REL00168,P00547,P01993,facilitator,CASE0112
REL00169,P00441,P00759,facilitator,CASE0215
REL00170,P01781,P00179,associate,CASE0074
REL00171,P01775,P01709,associate,CASE0025
REL00172,P01467,P00094,tenant,CASE0214
REL00173,P00690,P01386,business_partner,CASE0055
REL00174,P01517,P00502,associate,CASE0056
REL00175,P01564,P01386,tenant,CASE0081
REL00176,P00779,P01117,associate,CASE0175
REL00177,P01183,P01584,tenant,CASE0179
REL00178,P00690,P00477,employer,CASE0087
REL00179,P00728,P00458,family,CASE0063
REL00180,P00319,P01117,family,CASE0050
REL00181,P01150,P01467,associate,CASE0136
REL00182,P00052,P00408,business_partner,CASE0212
REL00183,P00089,P01519,family,CASE0188
REL00184,P01653,P00319,employer,CASE0102
REL00185,P00776,P00286,tenant,CASE0167
REL00186,P01993,P00334,employer,CASE0074
REL00187,P01355,P00199,family,CASE0169
REL00188,P00210,P00319,family,CASE0066
REL00189,P00452,P00052,facilitator,CASE0068
REL00190,P01437,P01736,facilitator,CASE0098
REL00191,P01267,P00705,employer,CASE0174
REL00192,P00690,P01519,business_partner,CASE0172
REL00193,P01752,P00179,facilitator,CASE0049
REL00194,P00229,P00394,facilitator,CASE0015
REL00195,P01210,P00164,associate,CASE0139
REL00196,P01961,P00542,family,CASE0091
REL00197,P00860,P00759,tenant,CASE0150
REL00198,P00319,P01355,business_partner,CASE0200
REL00199,P01267,P01302,facilitator,CASE0030
REL00200,P00759,P01495,associate,CASE0213
REL00201,P01099,P01775,associate,CASE0149
REL00202,P00229,P01438,facilitator,CASE0040
REL00203,P01889,P00394,associate,CASE0067
REL00204,P00334,P00866,business_partner,CASE0133
REL00205,P00570,P01709,employer,CASE0177
REL00206,P01919,P00941,business_partner,CASE0018
REL00207,P01183,P00477,associate,CASE0070
REL00208,P00192,P00143,tenant,CASE0161
REL00209,P01310,P01564,employer,CASE0138
REL00210,P00458,P00697,employer,CASE0233
REL00211,P00192,P01373,tenant,CASE0080
REL00212,P00748,P00408,business_partner,CASE0063
REL00213,P00593,P01699,facilitator,CASE0081
REL00214,P00286,P00690,family,CASE0213
REL00215,P00920,P01288,associate,CASE0021
REL00216,P01233,P00143,tenant,CASE0053
REL00217,P01355,P01183,tenant,CASE0121
REL00218,P01889,P00052,associate,CASE0205
REL00219,P00564,P01709,associate,CASE0140
REL00220,P00736,P00430,family,CASE0030
REL00221,P01814,P01207,business_partner,CASE0119
REL00222,P00759,P00162,business_partner,CASE0211
REL00223,P01699,P00920,tenant,CASE0095
REL00224,P00570,P00860,associate,CASE0127
REL00225,P00920,P01584,facilitator,CASE0137
REL00226,P00286,P00441,associate,CASE0164
REL00227,P00601,P01993,business_partner,CASE0115
REL00228,P01099,P00210,associate,CASE0014
REL00229,P00319,P00408,business_partner,CASE0022
REL00230,P00601,P00920,business_partner,CASE0139
REL00231,P00690,P00190,family,CASE0217
REL00232,P01828,P00334,employer,CASE0155
REL00233,P01131,P01564,associate,CASE0124
REL00234,P01651,P01653,tenant,CASE0221
REL00235,P00477,P00394,tenant,CASE0197
REL00236,P00779,P01288,employer,CASE0070
REL00237,P00408,P01233,associate,CASE0167
REL00238,P00728,P01131,associate,CASE0029
REL00239,P00860,P01584,family,CASE0155
REL00240,P00601,P00458,employer,CASE0104
REL00241,P00705,P00199,associate,CASE0234
REL00242,P00229,P01653,family,CASE0121
REL00243,P00697,P01131,family,CASE0018
REL00244,P01495,P01310,employer,CASE0074
REL00245,P00062,P00920,family,CASE0027
REL00246,P00748,P00256,facilitator,CASE0128
REL00247,P00502,P01889,facilitator,CASE0227
REL00248,P01355,P00190,tenant,CASE0220
REL00249,P00776,P00741,employer,CASE0145
REL00250,P00736,P01919,business_partner,CASE0095
REL00251,P01131,P01775,associate,CASE0198
REL00252,P01237,P00776,family,CASE0103
REL00253,P00190,P00564,family,CASE0047
REL00254,P00089,P01117,tenant,CASE0129
REL00255,P00394,P01233,family,CASE0009
REL00256,P01183,P00319,family,CASE0184
REL00257,P00066,P01150,associate,CASE0092
REL00258,P00441,P00542,family,CASE0002
REL00259,P01709,P00319,employer,CASE0204
REL00260,P00467,P00593,facilitator,CASE0158
REL00261,P00860,P00089,employer,CASE0006
REL00262,P01699,P01302,facilitator,CASE0085
REL00263,P00192,P01443,business_partner,CASE0164
REL00264,P00179,P00334,associate,CASE0196
REL00265,P00066,P01993,family,CASE0032
REL00266,P00705,P00728,family,CASE0142
REL00267,P00430,P00207,employer,CASE0031
REL00268,P00759,P00477,tenant,CASE0213
REL00269,P00089,P01302,family,CASE0013
REL00270,P00327,P00448,employer,CASE0199
REL00271,P01709,P01210,tenant,CASE0105
REL00272,P00697,P00564,family,CASE0160
REL00273,P01699,P01519,associate,CASE0045
REL00274,P00014,P01775,tenant,CASE0185
REL00275,P01564,P00229,family,CASE0173
REL00276,P01131,P00207,employer,CASE0214
REL00277,P00094,P00458,business_partner,CASE0073
REL00278,P01288,P00014,employer,CASE0019
REL00279,P01438,P01517,tenant,CASE0061
REL00280,P00210,P01517,employer,CASE0205
REL00281,P00542,P00143,employer,CASE0099
REL00282,P00062,P00164,business_partner,CASE0174
REL00283,P00089,P00055,business_partner,CASE0195
REL00284,P01781,P01584,family,CASE0135
REL00285,P00776,P01752,family,CASE0133
REL00286,P00941,P01438,associate,CASE0068
REL00287,P00207,P00448,family,CASE0177
REL00288,P01699,P01210,associate,CASE0078
REL00289,P00502,P01919,tenant,CASE0027
REL00290,P01117,P01438,tenant,CASE0228
REL00291,P00430,P00066,family,CASE0034
REL00292,P00448,P01889,associate,CASE0032
REL00293,P00094,P01517,family,CASE0131
REL00294,P01207,P01331,tenant,CASE0234
REL00295,P00190,P00408,facilitator,CASE0147
REL00296,P00776,P00865,business_partner,CASE0177
REL00297,P00865,P00441,business_partner,CASE0150
REL00298,P01233,P00319,tenant,CASE0055
REL00299,P01699,P00164,family,CASE0235
REL00300,P01651,P00430,employer,CASE0227
REL00301,P01267,P01443,family,CASE0160
REL00302,P01210,P01584,business_partner,CASE0111
REL00303,P01438,P01889,tenant,CASE0140
REL00304,P00920,P00593,employer,CASE0192
REL00305,P00164,P01555,business_partner,CASE0166
REL00306,P01467,P00542,tenant,CASE0113
REL00307,P00570,P01889,employer,CASE0225
REL00308,P01430,P01828,family,CASE0064
REL00309,P01150,P01961,employer,CASE0198
REL00310,P00062,P00190,employer,CASE0158
REL00311,P00697,P00502,business_partner,CASE0209
REL00312,P00458,P01961,family,CASE0127
REL00313,P01331,P01765,associate,CASE0069
REL00314,P01331,P01438,associate,CASE0115
REL00315,P01699,P00286,tenant,CASE0197
REL00316,P01775,P00448,associate,CASE0187
REL00317,P00286,P00319,tenant,CASE0196
REL00318,P00865,P01386,family,CASE0081
REL00319,P00190,P00286,associate,CASE0166
REL00320,P00542,P01814,facilitator,CASE0041
REL00321,P00779,P00941,family,CASE0078
REL00322,P00690,P00430,associate,CASE0048
REL00323,P00210,P01752,employer,CASE0235
REL00324,P01752,P01438,associate,CASE0151
REL00325,P00143,P01183,tenant,CASE0051
REL00326,P01438,P01653,employer,CASE0145
REL00327,P01564,P00062,employer,CASE0178
REL00328,P01555,P01355,facilitator,CASE0240
REL00329,P00319,P01373,employer,CASE0214
REL00330,P00055,P01709,employer,CASE0101
REL00331,P00394,P00736,tenant,CASE0157
REL00332,P01961,P00929,family,CASE0231
REL00333,P00199,P00570,tenant,CASE0047
REL00334,P00865,P00179,facilitator,CASE0073
REL00335,P00327,P00759,associate,CASE0155
REL00336,P00593,P01584,tenant,CASE0106
REL00337,P01709,P01237,business_partner,CASE0226
REL00338,P00860,P01775,facilitator,CASE0139
REL00339,P00452,P00866,family,CASE0220
REL00340,P00441,P00502,associate,CASE0153
REL00341,P01736,P01699,family,CASE0052
REL00342,P00477,P01355,family,CASE0201
REL00343,P01653,P00690,employer,CASE0099
REL00344,P00062,P01495,facilitator,CASE0050
REL00345,P01233,P00502,family,CASE0221
REL00346,P01373,P00327,associate,CASE0170
REL00347,P00207,P00705,business_partner,CASE0177
REL00348,P00094,P01099,employer,CASE0091
REL00349,P01584,P00334,associate,CASE0216
REL00350,P00210,P01765,tenant,CASE0107
REL00351,P00066,P00477,facilitator,CASE0037
REL00352,P00207,P00697,business_partner,CASE0189
REL00353,P00920,P00705,business_partner,CASE0073
REL00354,P01495,P01467,tenant,CASE0182
REL00355,P00866,P01443,associate,CASE0177
REL00356,P00866,P00741,family,CASE0043
REL00357,P01207,P00327,associate,CASE0078
REL00358,P00502,P01310,facilitator,CASE0020
REL00359,P00601,P00190,family,CASE0017
REL00360,P00570,P00776,business_partner,CASE0108
REL00361,P00941,P00601,business_partner,CASE0215
REL00362,P01775,P00776,employer,CASE0172
REL00363,P01150,P00319,associate,CASE0001
REL00364,P01386,P00055,business_partner,CASE0005
REL00365,P01653,P01288,associate,CASE0067
REL00366,P00759,P01331,tenant,CASE0092
REL00367,P00570,P00319,tenant,CASE0086
REL00368,P00408,P00452,associate,CASE0084
REL00369,P01331,P01443,tenant,CASE0134
REL00370,P00430,P01658,family,CASE0037
REL00371,P00690,P00327,tenant,CASE0067
REL00372,P01443,P01117,family,CASE0138
REL00373,P00865,P00941,employer,CASE0017
REL00374,P00941,P01961,associate,CASE0020
REL00375,P00066,P01183,tenant,CASE0080
REL00376,P01658,P01775,business_partner,CASE0003
REL00377,P01509,P01564,tenant,CASE0214
REL00378,P00759,P00547,tenant,CASE0151
REL00379,P00190,P00776,employer,CASE0158
REL00380,P01781,P00759,employer,CASE0205
REL00381,P00162,P01430,business_partner,CASE0228
REL00382,P01207,P00408,associate,CASE0196
REL00383,P01736,P01961,employer,CASE0217
REL00384,P01302,P01919,tenant,CASE0069
REL00385,P00014,P01993,family,CASE0181
REL00386,P00860,P01709,employer,CASE0170
REL00387,P01993,P01233,facilitator,CASE0104
REL00388,P00705,P00570,family,CASE0135
REL00389,P01267,P00728,family,CASE0219
REL00390,P01267,P00066,business_partner,CASE0052
REL00391,P00441,P00547,family,CASE0040
REL00392,P00860,P00741,facilitator,CASE0218
REL00393,P01267,P01373,family,CASE0122
REL00394,P00929,P01267,tenant,CASE0032
REL00395,P00748,P00052,facilitator,CASE0137
REL00396,P01267,P00759,associate,CASE0219
REL00397,P00094,P00334,tenant,CASE0159
REL00398,P01517,P00094,employer,CASE0115
REL00399,P00941,P00759,tenant,CASE0036
REL00400,P01331,P00094,facilitator,CASE0118
REL00401,P01828,P00286,employer,CASE0062
REL00402,P00779,P01355,employer,CASE0114
REL00403,P00690,P00286,tenant,CASE0239
REL00404,P00066,P01775,business_partner,CASE0216
REL00405,P01302,P01310,employer,CASE0146
REL00406,P00199,P00736,associate,CASE0217
REL00407,P00430,P00014,tenant,CASE0201
REL00408,P00190,P01519,family,CASE0121
REL00409,P00179,P01781,family,CASE0137
REL00410,P00477,P01237,tenant,CASE0010
REL00411,P00089,P00055,family,CASE0126
REL00412,P00430,P01775,employer,CASE0213
REL00413,P00458,P01150,facilitator,CASE0152
REL00414,P00458,P00741,facilitator,CASE0140
REL00415,P01919,P01438,business_partner,CASE0231
REL00416,P00542,P01658,associate,CASE0067
REL00417,P00477,P01183,family,CASE0087
REL00418,P01467,P01267,business_partner,CASE0149
REL00419,P00570,P01993,facilitator,CASE0028
REL00420,P01443,P00256,family,CASE0212
REL00421,P01288,P01430,family,CASE0197
REL00422,P01355,P01653,business_partner,CASE0189
REL00423,P00066,P00394,employer,CASE0237
REL00424,P00570,P01781,facilitator,CASE0153
REL00425,P00547,P00094,employer,CASE0181
REL00426,P01814,P00066,employer,CASE0115
REL00427,P01993,P01302,family,CASE0119
REL00428,P00089,P00467,tenant,CASE0051
REL00429,P01495,P00865,facilitator,CASE0143
REL00430,P01237,P01775,employer,CASE0240
REL00431,P01150,P00192,family,CASE0038
REL00432,P00430,P01150,family,CASE0147
REL00433,P00256,P00327,associate,CASE0054
REL00434,P01555,P00143,employer,CASE0236
REL00435,P00779,P00055,facilitator,CASE0165
REL00436,P00776,P01775,employer,CASE0015
REL00437,P00256,P01035,employer,CASE0011
REL00438,P01207,P01430,associate,CASE0045
REL00439,P01509,P01302,associate,CASE0118
REL00440,P01373,P00179,family,CASE0189
REL00441,P01653,P00179,employer,CASE0007
REL00442,P00697,P01765,tenant,CASE0010
REL00443,P00210,P01386,facilitator,CASE0196
REL00444,P01443,P00327,employer,CASE0217
REL00445,P00741,P00094,associate,CASE0059
REL00446,P01517,P01430,associate,CASE0093
REL00447,P00860,P01355,family,CASE0221
REL00448,P00697,P00448,business_partner,CASE0239
REL00449,P01131,P00192,facilitator,CASE0031
REL00450,P00448,P00705,facilitator,CASE0028
REL00451,P00430,P01443,business_partner,CASE0222
REL00452,P01752,P01495,family,CASE0213
REL00453,P01237,P01828,business_partner,CASE0099
REL00454,P01373,P00192,employer,CASE0039
REL00455,P00014,P00319,employer,CASE0133
REL00456,P01267,P01752,family,CASE0114
REL00457,P00190,P00748,employer,CASE0202
REL00458,P00190,P00564,associate,CASE0104
REL00459,P01495,P00334,business_partner,CASE0215
REL00460,P01237,P00210,associate,CASE0037
REL00461,P00502,P00741,associate,CASE0119
REL00462,P00467,P00741,tenant,CASE0085
REL00463,P01233,P00319,business_partner,CASE0195
REL00464,P00593,P01889,tenant,CASE0050
REL00465,P01150,P00865,facilitator,CASE0229
REL00466,P00430,P00162,facilitator,CASE0052
REL00467,P00164,P00143,tenant,CASE0095
REL00468,P01555,P00748,employer,CASE0012
REL00469,P00697,P01438,tenant,CASE0022
REL00470,P01237,P00866,business_partner,CASE0076
REL00471,P01651,P01564,tenant,CASE0078
REL00472,P00162,P01131,employer,CASE0113
REL00473,P00779,P01331,family,CASE0060
REL00474,P00192,P01035,business_partner,CASE0137
REL00475,P00941,P00564,employer,CASE0239
REL00476,P00089,P00394,employer,CASE0008
REL00477,P00179,P01993,employer,CASE0141
REL00478,P00089,P00542,employer,CASE0205
REL00479,P00564,P00441,employer,CASE0150
REL00480,P01564,P00593,facilitator,CASE0098
REL00481,P01386,P00143,business_partner,CASE0074
REL00482,P01889,P01564,facilitator,CASE0103
REL00483,P00467,P00741,facilitator,CASE0071
REL00484,P00179,P00728,family,CASE0012
REL00485,P00705,P00430,facilitator,CASE0136
REL00486,P01099,P00477,employer,CASE0119
REL00487,P00334,P00779,family,CASE0191
REL00488,P01467,P01564,family,CASE0184
REL00489,P01430,P00162,facilitator,CASE0078
REL00490,P01099,P01509,employer,CASE0135
REL00491,P00748,P00164,family,CASE0216
REL00492,P00920,P01993,employer,CASE0058
REL00493,P01443,P00055,facilitator,CASE0135
REL00494,P01519,P01099,tenant,CASE0217
REL00495,P01584,P00542,facilitator,CASE0059
REL00496,P01584,P01310,family,CASE0125
REL00497,P00542,P00089,facilitator,CASE0041
REL00498,P00776,P01709,business_partner,CASE0045
REL00499,P01919,P01331,business_partner,CASE0181
REL00500,P00066,P01651,associate,CASE0209
REL00501,P00458,P01519,business_partner,CASE0056
REL00502,P00286,P00564,business_partner,CASE0082
REL00503,P01117,P00929,tenant,CASE0137
REL00504,P01828,P00502,family,CASE0083
REL00505,P00190,P00866,employer,CASE0010
REL00506,P01237,P01210,family,CASE0134
REL00507,P01035,P00866,employer,CASE0050
REL00508,P01183,P01288,tenant,CASE0235
REL00509,P00929,P01765,facilitator,CASE0140
REL00510,P01752,P00865,employer,CASE0028
REL00511,P01495,P01765,employer,CASE0027
REL00512,P01775,P00430,family,CASE0004
REL00513,P01495,P01584,family,CASE0060
REL00514,P01961,P00408,facilitator,CASE0106
REL00515,P01233,P01207,family,CASE0042
REL00516,P01210,P01658,employer,CASE0223
REL00517,P01237,P00286,family,CASE0041
REL00518,P00452,P00334,tenant,CASE0218
REL00519,P01555,P00014,employer,CASE0087
REL00520,P01658,P01781,employer,CASE0136
REL00521,P00207,P01386,tenant,CASE0196
REL00522,P00164,P01430,business_partner,CASE0083
REL00523,P01207,P01131,business_partner,CASE0223
REL00524,P00547,P01117,employer,CASE0179
REL00525,P01495,P00929,associate,CASE0191
REL00526,P01517,P00066,associate,CASE0107
REL00527,P01495,P00394,associate,CASE0007
REL00528,P01509,P01564,tenant,CASE0062
REL00529,P01775,P00143,tenant,CASE0228
REL00530,P00286,P00601,business_partner,CASE0012
REL00531,P00014,P00697,tenant,CASE0103
REL00532,P01331,P01233,facilitator,CASE0189
REL00533,P00094,P01302,tenant,CASE0059
REL00534,P01099,P01709,associate,CASE0101
REL00535,P01919,P00229,family,CASE0043
REL00536,P01131,P01555,associate,CASE0012
REL00537,P01814,P00394,employer,CASE0024
REL00538,P01099,P01437,business_partner,CASE0055
REL00539,P01919,P00690,family,CASE0047
REL00540,P01517,P00741,associate,CASE0184
REL00541,P00865,P01651,business_partner,CASE0101
REL00542,P00062,P00190,business_partner,CASE0206
REL00543,P00759,P00210,employer,CASE0112
REL00544,P00014,P01207,family,CASE0138
REL00545,P01430,P01651,tenant,CASE0224
REL00546,P01564,P00865,business_partner,CASE0132
REL00547,P00467,P00094,tenant,CASE0132
REL00548,P00458,P01099,employer,CASE0168
REL00549,P00690,P01814,associate,CASE0217
REL00550,P00941,P00779,associate,CASE0207
REL00551,P01207,P01765,employer,CASE0094
REL00552,P00866,P01210,family,CASE0138
REL00553,P01993,P00748,employer,CASE0095
REL00554,P00162,P01131,associate,CASE0073
REL00555,P00759,P00334,family,CASE0080
REL00556,P00162,P00564,facilitator,CASE0171
REL00557,P01443,P00207,facilitator,CASE0185
REL00558,P00143,P01437,associate,CASE0161
REL00559,P00728,P00452,tenant,CASE0213
REL00560,P00055,P00593,associate,CASE0015
REL00561,P00564,P01781,business_partner,CASE0067
REL00562,P00199,P01373,associate,CASE0201
REL00563,P01183,P01035,tenant,CASE0059
REL00564,P00741,P00143,tenant,CASE0197
REL00565,P00452,P01752,employer,CASE0238
REL00566,P01555,P00066,associate,CASE0202
REL00567,P00866,P00705,tenant,CASE0109
REL00568,P01709,P01288,facilitator,CASE0166
REL00569,P01443,P00408,family,CASE0227
REL00570,P01781,P00458,employer,CASE0155
REL00571,P00286,P00055,employer,CASE0052
REL00572,P01331,P00062,employer,CASE0208
REL00573,P00866,P01438,employer,CASE0160
REL00574,P01237,P00319,tenant,CASE0009
REL00575,P00143,P00860,business_partner,CASE0062
REL00576,P01658,P01555,tenant,CASE0211
REL00577,P01653,P00697,family,CASE0133
REL00578,P00319,P00502,tenant,CASE0206
REL00579,P01035,P00467,tenant,CASE0032
REL00580,P00920,P01765,family,CASE0228
REL00581,P01961,P01355,tenant,CASE0219
REL00582,P01828,P01267,facilitator,CASE0132
REL00583,P01117,P00055,business_partner,CASE0034
REL00584,P01210,P00866,tenant,CASE0051
REL00585,P01131,P01519,family,CASE0228
REL00586,P00736,P00547,tenant,CASE0210
REL00587,P01564,P00865,employer,CASE0218
REL00588,P01437,P00192,business_partner,CASE0201
REL00589,P00256,P00705,business_partner,CASE0079
REL00590,P00286,P00728,facilitator,CASE0202
REL00591,P00728,P00748,facilitator,CASE0154
REL00592,P01438,P00319,facilitator,CASE0213
REL00593,P01302,P00741,facilitator,CASE0061
REL00594,P00441,P01658,tenant,CASE0229
REL00595,P01237,P00920,business_partner,CASE0163
REL00596,P01210,P00779,tenant,CASE0037
REL00597,P00542,P00062,tenant,CASE0059
REL00598,P00547,P00192,business_partner,CASE0131
REL00599,P01709,P00741,tenant,CASE0054
REL00600,P01438,P00430,employer,CASE0103
REL00601,P00094,P00736,business_partner,CASE0170
REL00602,P01555,P00430,employer,CASE0187
REL00603,P01288,P00327,tenant,CASE0027
REL00604,P00728,P01430,business_partner,CASE0005
REL00605,P01183,P01828,associate,CASE0109
REL00606,P00229,P01150,tenant,CASE0200
REL00607,P00779,P00601,employer,CASE0070
REL00608,P00286,P01437,associate,CASE0096
REL00609,P01210,P01310,tenant,CASE0092
REL00610,P01584,P01302,facilitator,CASE0188
REL00611,P00547,P00319,tenant,CASE0218
REL00612,P00736,P00394,business_partner,CASE0158
REL00613,P00929,P01150,family,CASE0097
REL00614,P01438,P00865,associate,CASE0154
REL00615,P01519,P00192,family,CASE0050
REL00616,P01961,P01355,associate,CASE0086
