fir_id,case_id,report_type
FIR00168,CASE0123,initial
FIR00169,CASE0122,initial
FIR00170,CASE0212,initial
FIR00171,CASE0117,initial
FIR00172,CASE0119,initial
FIR00173,CASE0150,initial
FIR00174,CASE0220,initial
FIR00175,CASE0135,initial
FIR00176,CASE0235,initial
FIR00177,CASE0116,initial
FIR00178,CASE0143,initial
FIR00179,CASE0028,initial
FIR00180,CASE0062,initial
FIR00181,CASE0048,initial
FIR00182,CASE0106,initial
FIR00183,CASE0034,initial
FIR00184,CASE0115,initial
FIR00185,CASE0077,initial
FIR00186,CASE0083,initial
FIR00187,CASE0038,initial
FIR00188,CASE0109,initial
FIR00189,CASE0145,initial
FIR00190,CASE0041,initial
FIR00191,CASE0168,initial
FIR00192,CASE0184,initial
FIR00193,CASE0139,initial
FIR00194,CASE0067,initial
FIR00195,CASE0088,initial
FIR00196,CASE0224,initial
FIR00197,CASE0104,initial
FIR00198,CASE0068,initial
FIR00199,CASE0227,initial
FIR00200,CASE0185,initial
FIR00201,CASE0075,initial
FIR00202,CASE0172,initial
FIR00203,CASE0152,initial
FIR00204,CASE0169,initial
FIR00205,CASE0164,initial
FIR00206,CASE0051,initial
FIR00207,CASE0201,initial
FIR00208,CASE0160,initial
FIR00209,CASE0037,initial
FIR00210,CASE0147,initial
FIR00211,CASE0108,initial
FIR00212,CASE0239,initial
FIR00213,CASE0127,initial
FIR00214,CASE0102,initial
FIR00215,CASE0199,initial
FIR00216,CASE0030,initial
FIR00217,CASE0151,initial
FIR00218,CASE0095,initial
FIR00219,CASE0040,initial
FIR00220,CASE0171,initial
FIR00221,CASE0219,initial
FIR00222,CASE0137,initial
FIR00223,CASE0238,initial
FIR00224,CASE0166,initial
FIR00225,CASE0176,initial
FIR00226,CASE0072,initial
FIR00227,CASE0074,initial
FIR00228,CASE0094,initial
FIR00229,CASE0215,initial
FIR00230,CASE0196,initial
FIR00231,CASE0080,initial
FIR00232,CASE0149,initial
FIR00233,CASE0049,initial
FIR00234,CASE0056,initial
FIR00235,CASE0232,initial
FIR00236,CASE0079,initial
FIR00237,CASE0110,initial
FIR00238,CASE0065,initial
FIR00239,CASE0118,initial
FIR00240,CASE0222,initial
FIR00241,CASE0141,initial
FIR00242,CASE0191,initial
FIR00243,CASE0061,initial
FIR00244,CASE0183,initial
FIR00245,CASE0047,initial
FIR00246,CASE0075,initial
FIR00247,CASE0083,initial
FIR00248,CASE0123,initial
FIR00249,CASE0142,initial
FIR00250,CASE0133,initial
FIR00251,CASE0146,initial
FIR00252,CASE0097,initial
FIR00253,CASE0065,initial
FIR00254,CASE0192,initial
FIR00255,CASE0082,initial
FIR00256,CASE0047,initial
FIR00257,CASE0148,initial
FIR00258,CASE0098,initial
FIR00259,CASE0177,initial
FIR00260,CASE0165,initial
FIR00261,CASE0012,initial
FIR00262,CASE0011,initial
FIR00263,CASE0234,initial
FIR00264,CASE0082,initial
FIR00265,CASE0232,initial
FIR00266,CASE0165,initial
FIR00267,CASE0170,initial
FIR00268,CASE0075,initial
FIR00269,CASE0015,initial
FIR00270,CASE0066,initial
FIR00271,CASE0103,initial
FIR00272,CASE0081,initial
FIR00273,CASE0229,initial
FIR00274,CASE0140,initial
FIR00275,CASE0207,initial
FIR00276,CASE0185,initial
FIR00277,CASE0161,initial
FIR00278,CASE0223,initial
FIR00279,CASE0203,initial
FIR00280,CASE0070,initial
FIR00281,CASE0093,initial
FIR00282,CASE0089,initial
FIR00283,CASE0027,initial
FIR00284,CASE0128,initial
FIR00285,CASE0110,initial
FIR00286,CASE0186,initial
FIR00287,CASE0071,initial
FIR00288,CASE0164,initial
FIR00289,CASE0005,initial
FIR00290,CASE0221,initial
FIR00291,CASE0231,initial
FIR00292,CASE0199,initial
FIR00293,CASE0053,initial
FIR00294,CASE0240,initial
FIR00295,CASE0147,initial
FIR00296,CASE0069,initial
FIR00297,CASE0154,initial
FIR00298,CASE0146,initial
FIR00299,CASE0097,initial
FIR00300,CASE0094,initial
FIR00301,CASE0240,initial
FIR00302,CASE0203,initial
FIR00303,CASE0218,initial
FIR00304,CASE0080,initial
FIR00305,CASE0066,initial
FIR00306,CASE0027,initial
FIR00307,CASE0054,initial
FIR00308,CASE0183,initial
FIR00309,CASE0180,initial
FIR00310,CASE0236,initial
FIR00311,CASE0123,initial
FIR00312,CASE0101,initial
FIR00313,CASE0132,initial
FIR00314,CASE0159,initial
FIR00315,CASE0119,initial
FIR00316,CASE0212,initial
FIR00317,CASE0218,initial
FIR00318,CASE0190,initial
FIR00319,CASE0084,initial
FIR00320,CASE0092,initial
FIR00321,CASE0150,initial
FIR00322,CASE0083,initial
FIR00323,CASE0070,initial
FIR00324,CASE0118,initial
FIR00325,CASE0059,initial
FIR00326,CASE0094,initial
FIR00327,CASE0051,initial
FIR00328,CASE0190,initial
FIR00329,CASE0110,initial
FIR00330,CASE0123,initial
FIR00331,CASE0118,initial
FIR00332,CASE0063,initial
FIR00333,CASE0152,initial
FIR00334,CASE0180,initial
FIR00335,CASE0125,initial
FIR00336,CASE0015,initial
FIR00337,CASE0226,initial
FIR00338,CASE0065,initial
FIR00339,CASE0155,initial
FIR00340,CASE0130,initial
FIR00341,CASE0112,initial
FIR00342,CASE0046,initial
FIR00343,CASE0043,initial
FIR00344,CASE0004,initial
FIR00345,CASE0041,initial
FIR00346,CASE0088,initial
FIR00347,CASE0099,initial
FIR00348,CASE0218,initial
FIR00349,CASE0218,initial
FIR00350,CASE0098,initial
FIR00351,CASE0180,initial
FIR00352,CASE0035,initial
FIR00353,CASE0179,initial
FIR00354,CASE0081,initial
FIR00355,CASE0111,initial
FIR00356,CASE0051,initial
FIR00357,CASE0126,initial
FIR00358,CASE0192,initial
FIR00359,CASE0233,initial
FIR00360,CASE0085,initial
FIR00361,CASE0080,initial
FIR00362,CASE0004,initial
FIR00363,CASE0198,initial
FIR00364,CASE0012,initial
FIR00365,CASE0090,initial
FIR00366,CASE0229,initial
FIR00367,CASE0095,initial
FIR00368,CASE0052,initial
FIR00369,CASE0119,initial
FIR00370,CASE0225,initial
FIR00371,CASE0063,initial
FIR00372,CASE0220,initial
FIR00373,CASE0028,initial
FIR00374,CASE0113,initial
FIR00375,CASE0204,initial
FIR00376,CASE0037,initial
FIR00377,CASE0138,initial
FIR00378,CASE0099,initial
FIR00379,CASE0228,initial
FIR00380,CASE0088,initial
FIR00381,CASE0052,initial
FIR00382,CASE0144,initial
FIR00383,CASE0048,initial
FIR00384,CASE0221,initial
FIR00385,CASE0004,initial
FIR00386,CASE0025,initial
FIR00387,CASE0191,initial
FIR00388,CASE0230,initial
FIR00389,CASE0164,initial
FIR00390,CASE0176,initial
FIR00391,CASE0204,initial
FIR00392,CASE0049,initial
FIR00393,CASE0077,initial
FIR00394,CASE0150,initial
FIR00395,CASE0008,initial
FIR00396,CASE0168,initial
FIR00397,CASE0180,initial
FIR00398,CASE0093,initial
FIR00399,CASE0045,initial
FIR00400,CASE0096,initial
FIR00401,CASE0240,initial
FIR00402,CASE0098,initial
FIR00403,CASE0078,initial
FIR00404,CASE0228,initial
FIR00405,CASE0177,initial
FIR00406,CASE0022,initial
FIR00407,CASE0168,initial
FIR00408,CASE0008,initial
FIR00409,CASE0135,initial
FIR00410,CASE0113,initial
FIR00411,CASE0063,initial
FIR00412,CASE0017,initial
FIR00413,CASE0088,initial
FIR00414,CASE0056,initial
FIR00415,CASE0078,initial
FIR00416,CASE0169,initial
FIR00417,CASE0179,initial
FIR00418,CASE0188,initial
FIR00419,CASE0094,initial
FIR00420,CASE0090,initial
FIR00421,CASE0044,initial
FIR00422,CASE0181,initial
FIR00423,CASE0212,initial
FIR00424,CASE0211,initial
FIR00425,CASE0226,initial
FIR00426,CASE0133,initial
FIR00427,CASE0167,initial
FIR00428,CASE0233,initial
FIR00429,CASE0194,initial
FIR00430,CASE0153,initial
FIR00431,CASE0155,initial
FIR00432,CASE0155,initial
FIR00433,CASE0015,initial
FIR00434,CASE0053,initial
FIR00435,CASE0196,initial
FIR00436,CASE0166,initial
FIR00437,CASE0043,initial
FIR00438,CASE0147,initial
FIR00439,CASE0056,initial
FIR00440,CASE0070,initial
FIR00441,CASE0213,initial
FIR00442,CASE0030,initial
FIR00443,CASE0226,initial
FIR00444,CASE0215,initial
FIR00445,CASE0130,initial
FIR00446,CASE0113,initial
FIR00447,CASE0108,initial
FIR00448,CASE0171,initial
FIR00449,CASE0152,initial
FIR00450,CASE0140,initial
FIR00451,CASE0175,initial
FIR00452,CASE0116,initial
FIR00453,CASE0124,initial
FIR00454,CASE0207,initial
FIR00455,CASE0230,initial
FIR00456,CASE0052,initial
FIR00457,CASE0027,initial
FIR00458,CASE0094,initial
FIR00459,CASE0011,initial
FIR00460,CASE0022,initial
FIR00461,CASE0088,initial
FIR00462,CASE0232,initial
FIR00463,CASE0033,initial
FIR00464,CASE0113,initial
FIR00465,CASE0217,initial
FIR00466,CASE0062,initial
FIR00467,CASE0111,initial
FIR00468,CASE0176,initial
FIR00469,CASE0012,initial
FIR00470,CASE0037,initial
FIR00471,CASE0117,initial
FIR00472,CASE0180,initial
FIR00473,CASE0188,initial
FIR00474,CASE0171,initial
FIR00475,CASE0146,initial
FIR00476,CASE0228,initial
FIR00477,CASE0070,initial
FIR00478,CASE0022,initial
FIR00479,CASE0201,initial
FIR00480,CASE0160,initial
FIR00481,CASE0184,initial
FIR00482,CASE0063,initial
FIR00483,CASE0048,initial
FIR00484,CASE0045,initial
FIR00485,CASE0082,initial
FIR00486,CASE0009,initial
FIR00487,CASE0034,initial
FIR00488,CASE0108,initial
FIR00489,CASE0114,initial
FIR00490,CASE0027,initial
FIR00491,CASE0087,initial
FIR00492,CASE0154,initial
FIR00493,CASE0215,initial
FIR00494,CASE0028,initial
FIR00495,CASE0187,initial
FIR00496,CASE0010,initial
FIR00497,CASE0213,initial
FIR00498,CASE0113,initial
FIR00499,CASE0189,initial
FIR00500,CASE0050,initial
FIR00501,CASE0019,initial
FIR00502,CASE0022,initial
FIR00503,CASE0133,initial
FIR00504,CASE0146,initial
FIR00505,CASE0151,initial
FIR00506,CASE0165,initial
FIR00507,CASE0039,initial
FIR00508,CASE0078,initial
FIR00509,CASE0170,initial
FIR00510,CASE0114,initial
FIR00511,CASE0235,initial
FIR00512,CASE0022,initial
FIR00513,CASE0116,initial
FIR00514,CASE0123,initial
FIR00515,CASE0175,initial
FIR00516,CASE0031,initial
FIR00517,CASE0051,initial
FIR00518,CASE0091,initial
FIR00519,CASE0222,initial
FIR00520,CASE0221,initial
FIR00521,CASE0203,initial
FIR00522,CASE0166,initial
FIR00523,CASE0030,initial
FIR00524,CASE0240,initial
FIR00525,CASE0164,initial
FIR00526,CASE0209,initial
FIR00527,CASE0203,initial
FIR00528,CASE0228,initial
FIR00529,CASE0177,initial
FIR00530,CASE0073,initial
FIR00531,CASE0174,initial
FIR00532,CASE0089,initial
FIR00533,CASE0079,initial
FIR00534,CASE0082,initial
FIR00535,CASE0064,initial
FIR00536,CASE0109,initial
FIR00537,CASE0057,initial
FIR00538,CASE0109,initial
FIR00539,CASE0146,initial
FIR00540,CASE0001,initial
FIR00541,CASE0037,initial
FIR00542,CASE0063,initial
FIR00543,CASE0146,initial
FIR00544,CASE0034,initial
FIR00545,CASE0173,initial
FIR00546,CASE0011,initial
FIR00547,CASE0086,initial
FIR00548,CASE0125,initial
FIR00549,CASE0159,initial
FIR00550,CASE0166,initial
FIR00551,CASE0228,initial
FIR00552,CASE0205,initial
FIR00553,CASE0195,initial
FIR00554,CASE0210,initial
FIR00555,CASE0053,initial
FIR00556,CASE0073,initial
FIR00557,CASE0029,initial
FIR00558,CASE0130,initial
FIR00559,CASE0038,initial
FIR00560,CASE0120,initial
FIR00561,CASE0043,initial
FIR00562,CASE0010,initial
FIR00563,CASE0030,initial
FIR00564,CASE0095,initial
FIR00565,CASE0238,initial
FIR00566,CASE0093,initial
FIR00567,CASE0084,initial
FIR00568,CASE0193,initial
FIR00569,CASE0238,initial
FIR00570,CASE0022,initial
FIR00571,CASE0009,initial
FIR00572,CASE0201,initial
FIR00573,CASE0236,initial
FIR00574,CASE0215,initial
FIR00575,CASE0084,initial
FIR00576,CASE0036,initial
FIR00577,CASE0085,initial
FIR00578,CASE0050,initial
FIR00579,CASE0169,initial
FIR00580,CASE0069,initial
FIR00581,CASE0129,initial
FIR00582,CASE0125,initial
FIR00583,CASE0112,initial
FIR00584,CASE0030,initial
FIR00585,CASE0042,initial
FIR00586,CASE0028,initial
FIR00587,CASE0152,initial
FIR00588,CASE0115,initial
FIR00589,CASE0087,initial
FIR00590,CASE0025,initial
FIR00591,CASE0214,initial
FIR00592,CASE0069,initial
FIR00593,CASE0211,initial
FIR00594,CASE0075,initial
FIR00595,CASE0030,initial
FIR00596,CASE0157,initial
FIR00597,CASE0120,initial
FIR00598,CASE0142,initial
FIR00599,CASE0073,initial
FIR00600,CASE0029,initial
FIR00601,CASE0007,initial
FIR00602,CASE0099,initial
FIR00603,CASE0022,initial
FIR00604,CASE0004,initial
FIR00605,CASE0035,initial
FIR00606,CASE0152,initial
FIR00607,CASE0104,initial
FIR00608,CASE0179,initial
FIR00609,CASE0024,initial
FIR00610,CASE0013,initial
FIR00611,CASE0023,initial
FIR00612,CASE0226,initial
FIR00613,CASE0052,initial
FIR00614,CASE0095,initial
FIR00615,CASE0058,initial
FIR00616,CASE0055,initial
FIR00617,CASE0090,initial
FIR00618,CASE0040,initial
FIR00619,CASE0122,initial
FIR00620,CASE0095,initial
FIR00621,CASE0225,initial
FIR00622,CASE0221,initial
FIR00623,CASE0145,initial
FIR00624,CASE0003,initial
FIR00625,CASE0156,initial
FIR00626,CASE0085,initial
FIR00627,CASE0061,initial
FIR00628,CASE0012,initial
FIR00629,CASE0051,initial
FIR00630,CASE0122,initial
FIR00631,CASE0039,initial
FIR00632,CASE0023,initial
FIR00633,CASE0237,initial
FIR00634,CASE0132,initial
FIR00635,CASE0017,initial
FIR00636,CASE0157,initial
FIR00637,CASE0040,initial
FIR00638,CASE0112,initial
FIR00639,CASE0168,initial
FIR00640,CASE0126,initial
FIR00641,CASE0011,initial
FIR00642,CASE0037,initial
FIR00643,CASE0002,initial
FIR00644,CASE0062,initial
FIR00645,CASE0164,initial
FIR00646,CASE0161,initial
FIR00647,CASE0071,initial
FIR00648,CASE0048,initial
FIR00649,CASE0131,initial
FIR00650,CASE0188,initial
FIR00651,CASE0135,initial
FIR00652,CASE0230,initial
FIR00653,CASE0204,initial
FIR00654,CASE0126,initial
FIR00655,CASE0212,initial
FIR00656,CASE0100,initial
FIR00657,CASE0178,initial
FIR00658,CASE0045,initial
FIR00659,CASE0111,initial
FIR00660,CASE0087,initial
FIR00661,CASE0017,initial
FIR00662,CASE0138,initial
FIR00663,CASE0120,initial
FIR00664,CASE0006,initial
FIR00665,CASE0120,initial
FIR00666,CASE0128,initial
FIR00667,CASE0205,initial
FIR00668,CASE0039,initial
FIR00669,CASE0212,initial
FIR00670,CASE0178,initial
FIR00671,CASE0041,initial
FIR00672,CASE0231,initial
FIR00673,CASE0164,initial
FIR00674,CASE0101,initial
FIR00675,CASE0106,initial
FIR00676,CASE0161,initial
FIR00677,CASE0013,initial
FIR00678,CASE0127,initial
FIR00679,CASE0029,initial
FIR00680,CASE0173,initial
FIR00681,CASE0206,initial
FIR00682,CASE0049,initial
FIR00683,CASE0231,initial
FIR00684,CASE0096,initial
FIR00685,CASE0046,initial
FIR00686,CASE0003,initial
FIR00687,CASE0100,initial
FIR00688,CASE0148,initial
FIR00689,CASE0052,initial
FIR00690,CASE0179,initial
FIR00691,CASE0189,initial
FIR00692,CASE0114,initial
FIR00693,CASE0204,initial
FIR00694,CASE0162,initial
FIR00695,CASE0113,initial
FIR00696,CASE0192,initial
FIR00697,CASE0105,initial
FIR00698,CASE0110,initial
FIR00699,CASE0234,initial
FIR00700,CASE0160,initial
FIR00701,CASE0014,initial
FIR00702,CASE0074,initial
FIR00703,CASE0020,initial
FIR00704,CASE0190,initial
FIR00705,CASE0054,initial
FIR00706,CASE0206,initial
FIR00707,CASE0121,initial
FIR00708,CASE0075,initial
FIR00709,CASE0032,initial
FIR00710,CASE0106,initial
FIR00711,CASE0145,initial
FIR00712,CASE0205,initial
FIR00713,CASE0184,initial
FIR00714,CASE0037,initial
FIR00715,CASE0113,initial
FIR00716,CASE0187,initial
FIR00717,CASE0037,initial
FIR00718,CASE0208,initial
FIR00719,CASE0163,initial
FIR00720,CASE0182,initial
FIR00721,CASE0111,supplementary
FIR00722,CASE0089,supplementary
FIR00723,CASE0045,supplementary
FIR00724,CASE0103,supplementary
FIR00725,CASE0134,supplementary
FIR00726,CASE0173,supplementary
FIR00727,CASE0187,supplementary
FIR00728,CASE0190,supplementary
FIR00729,CASE0190,supplementary
FIR00730,CASE0054,supplementary
FIR00731,CASE0132,supplementary
FIR00732,CASE0033,supplementary
FIR00733,CASE0228,supplementary
FIR00734,CASE0085,supplementary
FIR00735,CASE0037,supplementary
FIR00736,CASE0233,supplementary
FIR00737,CASE0136,supplementary
FIR00738,CASE0223,supplementary
FIR00739,CASE0022,supplementary
FIR00740,CASE0015,supplementary
FIR00741,CASE0120,supplementary
FIR00742,CASE0233,supplementary
FIR00743,CASE0059,supplementary
FIR00744,CASE0132,supplementary
FIR00745,CASE0114,supplementary
FIR00746,CASE0161,supplementary
FIR00747,CASE0025,supplementary
FIR00748,CASE0226,supplementary
FIR00749,CASE0203,supplementary
FIR00750,CASE0229,supplementary
