ref_id,case_id,source_type,source_id,description,is_duplicate
REF00038,CASE0050,FIR,FIR000278,Case reference linking FIR record FIR000278 to investigative file.,false
REF00039,CASE0055,FIR,FIR000062,Case reference linking FIR record FIR000062 to investigative file.,false
REF00040,CASE0060,CDR,CDR003576,Case reference linking CDR record CDR003576 to investigative file.,false
REF00041,CASE0002,FIR,FIR000212,Case reference linking FIR record FIR000212 to investigative file.,false
REF00042,CASE0044,CDR,CDR003026,Case reference linking CDR record CDR003026 to investigative file.,false
REF00043,CASE0005,Transaction,TXN003141,Case reference linking Transaction record TXN003141 to investigative file.,false
REF00044,CASE0043,Transaction,TXN001921,Case reference linking Transaction record TXN001921 to investigative file.,false
REF00045,CASE0048,FIR,FIR000282,Case reference linking FIR record FIR000282 to investigative file.,false
REF00046,CASE0054,CDR,CDR008476,Case reference linking CDR record CDR008476 to investigative file.,false
REF00047,CASE0017,CDR,CDR000526,Case reference linking CDR record CDR000526 to investigative file.,false
REF00048,CASE0042,Transaction,TXN002161,Case reference linking Transaction record TXN002161 to investigative file.,false
REF00049,CASE0034,FIR,FIR000174,Case reference linking FIR record FIR000174 to investigative file.,false
REF00050,CASE0031,Transaction,TXN003761,Case reference linking Transaction record TXN003761 to investigative file.,false
REF00051,CASE0030,CDR,CDR003501,Case reference linking CDR record CDR003501 to investigative file.,false
REF00052,CASE0045,CDR,CDR001476,Case reference linking CDR record CDR001476 to investigative file.,false
REF00053,CASE0031,FIR,FIR000112,Case reference linking FIR record FIR000112 to investigative file.,false
REF00054,CASE0051,Transaction,TXN003561,Case reference linking Transaction record TXN003561 to investigative file.,false
REF00055,CASE0039,FIR,FIR000029,Case reference linking FIR record FIR000029 to investigative file.,false
REF00056,CASE0051,FIR,FIR000186,Case reference linking FIR record FIR000186 to investigative file.,false
REF00057,CASE0029,FIR,FIR000211,Case reference linking FIR record FIR000211 to investigative file.,false
REF00058,CASE0009,Surveillance,SR00093,Case reference linking Surveillance record SR00093 to investigative file.,false
REF00059,CASE0059,CDR,CDR000051,Case reference linking CDR record CDR000051 to investigative file.,false
REF00060,CASE0037,FIR,FIR000245,Case reference linking FIR record FIR000245 to investigative file.,false
REF00061,CASE0017,Transaction,TXN004281,Case reference linking Transaction record TXN004281 to investigative file.,false
REF00062,CASE0023,Surveillance,SR00149,Case reference linking Surveillance record SR00149 to investigative file.,false
REF00063,CASE0052,FIR,FIR000196,Case reference linking FIR record FIR000196 to investigative file.,false
REF00064,CASE0004,FIR,FIR000213,Case reference linking FIR record FIR000213 to investigative file.,false
REF00065,CASE0014,Surveillance,SR00024,Case reference linking Surveillance record SR00024 to investigative file.,false
REF00066,CASE0020,CDR,CDR004076,Case reference linking CDR record CDR004076 to investigative file.,false
REF00067,CASE0032,Transaction,TXN001801,Case reference linking Transaction record TXN001801 to investigative file.,false
REF00068,CASE0047,FIR,FIR000038,Case reference linking FIR record FIR000038 to investigative file.,false
REF00069,CASE0037,CDR,CDR004951,Case reference linking CDR record CDR004951 to investigative file.,false
REF00070,CASE0059,CDR,CDR002951,Case reference linking CDR record CDR002951 to investigative file.,false
REF00071,CASE0012,FIR,FIR000014,Case reference linking FIR record FIR000014 to investigative file.,false
REF00072,CASE0015,CDR,CDR006151,Case reference linking CDR record CDR006151 to investigative file.,false
REF00073,CASE0025,CDR,CDR009926,Case reference linking CDR record CDR009926 to investigative file.,false
REF00074,CASE0009,Transaction,TXN004501,Case reference linking Transaction record TXN004501 to investigative file.,false
REF00075,CASE0009,Transaction,TXN002781,Case reference linking Transaction record TXN002781 to investigative file.,false
REF00076,CASE0024,Transaction,TXN000081,Case reference linking Transaction record TXN000081 to investigative file.,false
REF00077,CASE0038,FIR,FIR000283,Case reference linking FIR record FIR000283 to investigative file.,false
REF00078,CASE0014,CDR,CDR003251,Case reference linking CDR record CDR003251 to investigative file.,false
REF00079,CASE0030,FIR,FIR000080,Case reference linking FIR record FIR000080 to investigative file.,false
REF00080,CASE0048,Transaction,TXN001101,Case reference linking Transaction record TXN001101 to investigative file.,false
REF00081,CASE0041,FIR,FIR000047,Case reference linking FIR record FIR000047 to investigative file.,false
REF00082,CASE0009,CDR,CDR003501,Case reference linking CDR record CDR003501 to investigative file.,false
REF00083,CASE0017,Surveillance,SR00039,Case reference linking Surveillance record SR00039 to investigative file.,false
REF00084,CASE0027,CDR,CDR005451,Case reference linking CDR record CDR005451 to investigative file.,false
REF00085,CASE0026,Surveillance,SR00004,Case reference linking Surveillance record SR00004 to investigative file.,false
REF00086,CASE0038,CDR,CDR005151,Case reference linking CDR record CDR005151 to investigative file.,false
REF00087,CASE0005,Surveillance,SR00107,Case reference linking Surveillance record SR00107 to investigative file.,false
REF00088,CASE0025,FIR,FIR000254,Case reference linking FIR record FIR000254 to investigative file.,false
REF00089,CASE0022,Surveillance,SR00024,Case reference linking Surveillance record SR00024 to investigative file.,false
REF00090,CASE0041,FIR,FIR000147,Case reference linking FIR record FIR000147 to investigative file.,false
REF00091,CASE0019,CDR,CDR004026,Case reference linking CDR record CDR004026 to investigative file.,false
REF00092,CASE0004,CDR,CDR001926,Case reference linking CDR record CDR001926 to investigative file.,false
REF00093,CASE0048,Surveillance,SR00083,Case reference linking Surveillance record SR00083 to investigative file.,false
REF00094,CASE0034,Transaction,TXN002601,Case reference linking Transaction record TXN002601 to investigative file.,false
REF00095,CASE0050,Transaction,TXN004261,Case reference linking Transaction record TXN004261 to investigative file.,false
REF00096,CASE0046,Transaction,TXN004061,Case reference linking Transaction record TXN004061 to investigative file.,false
REF00097,CASE0011,CDR,CDR005576,Case reference linking CDR record CDR005576 to investigative file.,false
REF00098,CASE0042,CDR,CDR002701,Case reference linking CDR record CDR002701 to investigative file.,false
REF00099,CASE0018,Transaction,TXN001081,Case reference linking Transaction record TXN001081 to investigative file.,false
REF00100,CASE0059,Surveillance,SR00115,Case reference linking Surveillance record SR00115 to investigative file.,false
REF00101,CASE0009,CDR,CDR004376,Case reference linking CDR record CDR004376 to investigative file.,false
REF00102,CASE0002,CDR,CDR005926,Case reference linking CDR record CDR005926 to investigative file.,false
REF00103,CASE0029,FIR,FIR000094,Case reference linking FIR record FIR000094 to investigative file.,false
REF00104,CASE0051,Transaction,TXN004641,Case reference linking Transaction record TXN004641 to investigative file.,false
REF00105,CASE0012,CDR,CDR002001,Case reference linking CDR record CDR002001 to investigative file.,false
REF00106,CASE0003,Transaction,TXN000761,Case reference linking Transaction record TXN000761 to investigative file.,false
REF00107,CASE0035,FIR,FIR000282,Case reference linking FIR record FIR000282 to investigative file.,false
REF00108,CASE0034,FIR,FIR000072,Case reference linking FIR record FIR000072 to investigative file.,false
REF00109,CASE0034,Surveillance,SR00028,Case reference linking Surveillance record SR00028 to investigative file.,false
REF00110,CASE0005,Transaction,TXN003321,Case reference linking Transaction record TXN003321 to investigative file.,false
REF00111,CASE0045,CDR,CDR008626,Case reference linking CDR record CDR008626 to investigative file.,false
REF00112,CASE0042,CDR,CDR001351,Case reference linking CDR record CDR001351 to investigative file.,false
REF00113,CASE0025,CDR,CDR002426,Case reference linking CDR record CDR002426 to investigative file.,false
REF00114,CASE0015,Surveillance,SR00109,Case reference linking Surveillance record SR00109 to investigative file.,false
REF00115,CASE0008,FIR,FIR000096,Case reference linking FIR record FIR000096 to investigative file.,false
REF00116,CASE0057,FIR,FIR000226,Case reference linking FIR record FIR000226 to investigative file.,false
REF00117,CASE0004,Surveillance,SR00009,Case reference linking Surveillance record SR00009 to investigative file.,false
REF00118,CASE0014,CDR,CDR007626,Case reference linking CDR record CDR007626 to investigative file.,false
REF00119,CASE0004,Transaction,TXN003401,Case reference linking Transaction record TXN003401 to investigative file.,false
REF00120,CASE0058,Transaction,TXN003301,Case reference linking Transaction record TXN003301 to investigative file.,false
REF00121,CASE0010,CDR,CDR000401,Case reference linking CDR record CDR000401 to investigative file.,false
REF00122,CASE0029,Transaction,TXN002261,Case reference linking Transaction record TXN002261 to investigative file.,false
REF00123,CASE0059,FIR,FIR000059,Case reference linking FIR record FIR000059 to investigative file.,false
REF00124,CASE0035,FIR,FIR000067,Case reference linking FIR record FIR000067 to investigative file.,false
REF00125,CASE0045,CDR,CDR009776,Case reference linking CDR record CDR009776 to investigative file.,false
REF00126,CASE0042,Surveillance,SR00134,Case reference linking Surveillance record SR00134 to investigative file.,false
REF00127,CASE0041,CDR,CDR001326,Case reference linking CDR record CDR001326 to investigative file.,false
REF00128,CASE0045,Transaction,TXN003721,Case reference linking Transaction record TXN003721 to investigative file.,false
REF00129,CASE0039,CDR,CDR007726,Case reference linking CDR record CDR007726 to investigative file.,false
REF00130,CASE0045,Transaction,TXN001361,Case reference linking Transaction record TXN001361 to investigative file.,false
REF00131,CASE0013,CDR,CDR006901,Case reference linking CDR record CDR006901 to investigative file.,false
REF00132,CASE0055,CDR,CDR001876,Case reference linking CDR record CDR001876 to investigative file.,false
REF00133,CASE0001,Transaction,TXN000181,Case reference linking Transaction record TXN000181 to investigative file.,false
REF00134,CASE0053,Surveillance,SR00047,Case reference linking Surveillance record SR00047 to investigative file.,false
REF00135,CASE0042,CDR,CDR004876,Case reference linking CDR record CDR004876 to investigative file.,false
REF00136,CASE0048,CDR,CDR006401,Case reference linking CDR record CDR006401 to investigative file.,false
REF00137,CASE0054,FIR,FIR000055,Case reference linking FIR record FIR000055 to investigative file.,false
REF00138,CASE0003,CDR,CDR002326,Case reference linking CDR record CDR002326 to investigative file.,false
REF00139,CASE0050,Transaction,TXN002541,Case reference linking Transaction record TXN002541 to investigative file.,false
REF00140,CASE0055,FIR,FIR000252,Case reference linking FIR record FIR000252 to investigative file.,false
REF00141,CASE0001,Transaction,TXN004061,Case reference linking Transaction record TXN004061 to investigative file.,false
REF00142,CASE0043,FIR,FIR000203,Case reference linking FIR record FIR000203 to investigative file.,false
REF00143,CASE0016,CDR,CDR005526,Case reference linking CDR record CDR005526 to investigative file.,false
REF00144,CASE0033,CDR,CDR007326,Case reference linking CDR record CDR007326 to investigative file.,false
REF00145,CASE0020,Surveillance,SR00092,Case reference linking Surveillance record SR00092 to investigative file.,false
REF00146,CASE0053,CDR,CDR006326,Case reference linking CDR record CDR006326 to investigative file.,false
REF00147,CASE0058,Surveillance,SR00043,Case reference linking Surveillance record SR00043 to investigative file.,false
REF00148,CASE0029,Transaction,TXN000941,Case reference linking Transaction record TXN000941 to investigative file.,false
REF00149,CASE0013,FIR,FIR000125,Case reference linking FIR record FIR000125 to investigative file.,false
REF00150,CASE0014,CDR,CDR005501,Case reference linking CDR record CDR005501 to investigative file.,false
REF00151,CASE0018,Surveillance,SR00024,Case reference linking Surveillance record SR00024 to investigative file.,false
REF00152,CASE0052,Surveillance,SR00016,Case reference linking Surveillance record SR00016 to investigative file.,false
REF00153,CASE0057,Surveillance,SR00038,Case reference linking Surveillance record SR00038 to investigative file.,false
REF00154,CASE0049,Transaction,TXN003861,Case reference linking Transaction record TXN003861 to investigative file.,false
REF00155,CASE0005,Surveillance,SR00016,Case reference linking Surveillance record SR00016 to investigative file.,false
REF00156,CASE0049,CDR,CDR000476,Case reference linking CDR record CDR000476 to investigative file.,false
REF00157,CASE0060,Transaction,TXN001881,Case reference linking Transaction record TXN001881 to investigative file.,false
REF00158,CASE0043,CDR,CDR004901,Case reference linking CDR record CDR004901 to investigative file.,false
REF00159,CASE0014,Surveillance,SR00109,Case reference linking Surveillance record SR00109 to investigative file.,false
REF00160,CASE0001,Transaction,TXN001521,Case reference linking Transaction record TXN001521 to investigative file.,false
REF00161,CASE0054,Transaction,TXN004141,Case reference linking Transaction record TXN004141 to investigative file.,false
REF00162,CASE0040,CDR,CDR004376,Case reference linking CDR record CDR004376 to investigative file.,false
REF00163,CASE0046,FIR,FIR000117,Case reference linking FIR record FIR000117 to investigative file.,false
REF00164,CASE0052,CDR,CDR001826,Case reference linking CDR record CDR001826 to investigative file.,false
REF00165,CASE0017,CDR,CDR009051,Case reference linking CDR record CDR009051 to investigative file.,false
REF00166,CASE0036,CDR,CDR005051,Case reference linking CDR record CDR005051 to investigative file.,false
REF00167,CASE0041,FIR,FIR000091,Case reference linking FIR record FIR000091 to investigative file.,false
REF00168,CASE0021,CDR,CDR004426,Case reference linking CDR record CDR004426 to investigative file.,false
REF00169,CASE0053,Surveillance,SR00134,Case reference linking Surveillance record SR00134 to investigative file.,false
REF00170,CASE0050,Transaction,TXN004101,Case reference linking Transaction record TXN004101 to investigative file.,false
REF00171,CASE0034,CDR,CDR006801,Case reference linking CDR record CDR006801 to investigative file.,false
REF00172,CASE0058,FIR,FIR000026,Case reference linking FIR record FIR000026 to investigative file.,false
REF00173,CASE0047,CDR,CDR007976,Case reference linking CDR record CDR007976 to investigative file.,false
REF00174,CASE0049,Transaction,TXN004601,Case reference linking Transaction record TXN004601 to investigative file.,false
REF00175,CASE0058,CDR,CDR004026,Case reference linking CDR record CDR004026 to investigative file.,false
REF00176,CASE0011,Transaction,TXN004461,Case reference linking Transaction record TXN004461 to investigative file.,false
REF00177,CASE0059,Transaction,TXN003841,Case reference linking Transaction record TXN003841 to investigative file.,false
REF00178,CASE0016,Surveillance,SR00009,Case reference linking Surveillance record SR00009 to investigative file.,false
REF00179,CASE0039,FIR,FIR000253,Case reference linking FIR record FIR000253 to investigative file.,false
REF00180,CASE0043,Transaction,TXN001881,Case reference linking Transaction record TXN001881 to investigative file.,false
REF00181,CASE0041,CDR,CDR003051,Case reference linking CDR record CDR003051 to investigative file.,false
REF00182,CASE0009,CDR,CDR007326,Case reference linking CDR record CDR007326 to investigative file.,false
REF00183,CASE0018,Transaction,TXN001181,Case reference linking Transaction record TXN001181 to investigative file.,false
REF00184,CASE0052,CDR,CDR006976,Case reference linking CDR record CDR006976 to investigative file.,false
REF00185,CASE0053,FIR,FIR000067,Case reference linking FIR record FIR000067 to investigative file.,false
REF00186,CASE0032,CDR,CDR008576,Case reference linking CDR record CDR008576 to investigative file.,false
REF00187,CASE0042,FIR,FIR000037,Case reference linking FIR record FIR000037 to investigative file.,false
REF00188,CASE0036,CDR,CDR005451,Case reference linking CDR record CDR005451 to investigative file.,false
REF00189,CASE0047,CDR,CDR002501,Case reference linking CDR record CDR002501 to investigative file.,false
REF00190,CASE0009,FIR,FIR000112,Case reference linking FIR record FIR000112 to investigative file.,false
REF00191,CASE0002,Transaction,TXN002521,Case reference linking Transaction record TXN002521 to investigative file.,false
REF00192,CASE0010,CDR,CDR008301,Case reference linking CDR record CDR008301 to investigative file.,false
REF00193,CASE0025,Transaction,TXN004221,Case reference linking Transaction record TXN004221 to investigative file.,false
REF00194,CASE0051,Surveillance,SR00131,Case reference linking Surveillance record SR00131 to investigative file.,false
REF00195,CASE0007,Surveillance,SR00088,Case reference linking Surveillance record SR00088 to investigative file.,false
REF00196,CASE0023,CDR,CDR008526,Case reference linking CDR record CDR008526 to investigative file.,false
REF00197,CASE0011,Transaction,TXN000181,Case reference linking Transaction record TXN000181 to investigative file.,false
REF00198,CASE0047,FIR,FIR000042,Case reference linking FIR record FIR000042 to investigative file.,false
REF00199,CASE0013,Transaction,TXN002381,Case reference linking Transaction record TXN002381 to investigative file.,false
REF00200,CASE0055,Transaction,TXN002421,Case reference linking Transaction record TXN002421 to investigative file.,false
REF00201,CASE0030,Transaction,TXN001321,Case reference linking Transaction record TXN001321 to investigative file.,false
REF00202,CASE0053,Transaction,TXN002721,Case reference linking Transaction record TXN002721 to investigative file.,false
REF00203,CASE0002,CDR,CDR007476,Case reference linking CDR record CDR007476 to investigative file.,false
REF00204,CASE0020,FIR,FIR000010,Case reference linking FIR record FIR000010 to investigative file.,false
REF00205,CASE0035,FIR,FIR000075,Case reference linking FIR record FIR000075 to investigative file.,false
REF00206,CASE0033,Surveillance,SR00053,Case reference linking Surveillance record SR00053 to investigative file.,false
REF00207,CASE0022,CDR,CDR008851,Case reference linking CDR record CDR008851 to investigative file.,false
REF00208,CASE0037,Transaction,TXN004041,Case reference linking Transaction record TXN004041 to investigative file.,false
REF00209,CASE0017,Transaction,TXN003801,Case reference linking Transaction record TXN003801 to investigative file.,false
REF00210,CASE0021,Transaction,TXN003261,Case reference linking Transaction record TXN003261 to investigative file.,false
REF00211,CASE0043,CDR,CDR008051,Case reference linking CDR record CDR008051 to investigative file.,false
REF00212,CASE0015,Transaction,TXN001881,Case reference linking Transaction record TXN001881 to investigative file.,false
REF00213,CASE0024,Transaction,TXN004341,Case reference linking Transaction record TXN004341 to investigative file.,false
REF00214,CASE0028,CDR,CDR005701,Case reference linking CDR record CDR005701 to investigative file.,false
REF00215,CASE0026,Transaction,TXN001681,Case reference linking Transaction record TXN001681 to investigative file.,false
REF00216,CASE0022,FIR,FIR000110,Case reference linking FIR record FIR000110 to investigative file.,false
REF00217,CASE0023,FIR,FIR000293,Case reference linking FIR record FIR000293 to investigative file.,false
REF00218,CASE0044,FIR,FIR000187,Case reference linking FIR record FIR000187 to investigative file.,false
REF00219,CASE0016,CDR,CDR007826,Case reference linking CDR record CDR007826 to investigative file.,false
REF00220,CASE0044,CDR,CDR000026,Case reference linking CDR record CDR000026 to investigative file.,false
REF00221,CASE0009,Transaction,TXN000121,Case reference linking Transaction record TXN000121 to investigative file.,false
REF00222,CASE0019,CDR,CDR007751,Case reference linking CDR record CDR007751 to investigative file.,false
REF00223,CASE0055,CDR,CDR003376,Case reference linking CDR record CDR003376 to investigative file.,false
REF00224,CASE0003,Transaction,TXN003221,Case reference linking Transaction record TXN003221 to investigative file.,false
REF00225,CASE0039,CDR,CDR003351,Case reference linking CDR record CDR003351 to investigative file.,false
REF00226,CASE0051,Surveillance,SR00027,Case reference linking Surveillance record SR00027 to investigative file.,false
REF00227,CASE0002,Transaction,TXN003041,Case reference linking Transaction record TXN003041 to investigative file.,false
REF00228,CASE0053,Transaction,TXN001441,Case reference linking Transaction record TXN001441 to investigative file.,false
REF00229,CASE0035,CDR,CDR003176,Case reference linking CDR record CDR003176 to investigative file.,false
REF00230,CASE0060,FIR,FIR000120,Case reference linking FIR record FIR000120 to investigative file.,false
REF00231,CASE0010,Transaction,TXN003721,Case reference linking Transaction record TXN003721 to investigative file.,false
REF00232,CASE0044,Transaction,TXN003061,Case reference linking Transaction record TXN003061 to investigative file.,false
REF00233,CASE0031,FIR,FIR000113,Case reference linking FIR record FIR000113 to investigative file.,false
REF00234,CASE0025,Transaction,TXN004621,Case reference linking Transaction record TXN004621 to investigative file.,false
REF00235,CASE0014,Transaction,TXN002481,Case reference linking Transaction record TXN002481 to investigative file.,false
REF00236,CASE0029,FIR,FIR000093,Case reference linking FIR record FIR000093 to investigative file.,false
REF00237,CASE0035,Surveillance,SR00055,Case reference linking Surveillance record SR00055 to investigative file.,false
REF00238,CASE0004,Transaction,TXN000921,Case reference linking Transaction record TXN000921 to investigative file.,false
REF00239,CASE0037,CDR,CDR003426,Case reference linking CDR record CDR003426 to investigative file.,false
REF00240,CASE0035,CDR,CDR000526,Case reference linking CDR record CDR000526 to investigative file.,false
REF00241,CASE0031,FIR,FIR000009,Case reference linking FIR record FIR000009 to investigative file.,false
REF00242,CASE0014,FIR,FIR000025,Case reference linking FIR record FIR000025 to investigative file.,false
REF00243,CASE0043,FIR,FIR000187,Case reference linking FIR record FIR000187 to investigative file.,false
REF00244,CASE0059,CDR,CDR000351,Case reference linking CDR record CDR000351 to investigative file.,false
REF00245,CASE0032,FIR,FIR000212,Case reference linking FIR record FIR000212 to investigative file.,false
REF00246,CASE0024,CDR,CDR002276,Case reference linking CDR record CDR002276 to investigative file.,false
REF00247,CASE0045,CDR,CDR001151,Case reference linking CDR record CDR001151 to investigative file.,false
REF00248,CASE0058,CDR,CDR008926,Case reference linking CDR record CDR008926 to investigative file.,false
REF00249,CASE0001,Surveillance,SR00074,Case reference linking Surveillance record SR00074 to investigative file.,false
REF00250,CASE0022,FIR,FIR000140,Case reference linking FIR record FIR000140 to investigative file.,false
REF00251,CASE0049,FIR,FIR000027,Case reference linking FIR record FIR000027 to investigative file.,false
REF00252,CASE0051,FIR,FIR000015,Case reference linking FIR record FIR000015 to investigative file.,false
REF00253,CASE0058,Surveillance,SR00027,Case reference linking Surveillance record SR00027 to investigative file.,false
REF00254,CASE0019,FIR,FIR000108,Case reference linking FIR record FIR000108 to investigative file.,false
REF00255,CASE0046,Transaction,TXN000361,Case reference linking Transaction record TXN000361 to investigative file.,false
REF00256,CASE0004,FIR,FIR000200,Case reference linking FIR record FIR000200 to investigative file.,false
REF00257,CASE0010,CDR,CDR002126,Case reference linking CDR record CDR002126 to investigative file.,false
REF00258,CASE0059,CDR,CDR003351,Case reference linking CDR record CDR003351 to investigative file.,false
REF00259,CASE0011,FIR,FIR000152,Case reference linking FIR record FIR000152 to investigative file.,false
REF00260,CASE0031,FIR,FIR000284,Case reference linking FIR record FIR000284 to investigative file.,false
REF00261,CASE0012,FIR,FIR000180,Case reference linking FIR record FIR000180 to investigative file.,false
REF00262,CASE0042,CDR,CDR006151,Case reference linking CDR record CDR006151 to investigative file.,false
REF00263,CASE0032,CDR,CDR002251,Case reference linking CDR record CDR002251 to investigative file.,false
REF00264,CASE0038,Transaction,TXN002661,Case reference linking Transaction record TXN002661 to investigative file.,false
REF00265,CASE0050,CDR,CDR003426,Case reference linking CDR record CDR003426 to investigative file.,false
REF00266,CASE0055,Surveillance,SR00121,Case reference linking Surveillance record SR00121 to investigative file.,false
REF00267,CASE0025,Transaction,TXN002601,Case reference linking Transaction record TXN002601 to investigative file.,false
REF00268,CASE0059,Transaction,TXN000921,Case reference linking Transaction record TXN000921 to investigative file.,false
REF00269,CASE0038,CDR,CDR004676,Case reference linking CDR record CDR004676 to investigative file.,false
REF00270,CASE0027,FIR,FIR000291,Case reference linking FIR record FIR000291 to investigative file.,false
REF00271,CASE0010,CDR,CDR004976,Case reference linking CDR record CDR004976 to investigative file.,false
REF00272,CASE0021,Transaction,TXN002421,Case reference linking Transaction record TXN002421 to investigative file.,false
REF00273,CASE0017,CDR,CDR004851,Case reference linking CDR record CDR004851 to investigative file.,false
REF00274,CASE0058,FIR,FIR000028,Case reference linking FIR record FIR000028 to investigative file.,false
REF00275,CASE0031,CDR,CDR004601,Case reference linking CDR record CDR004601 to investigative file.,false
REF00276,CASE0004,FIR,FIR000212,Case reference linking FIR record FIR000212 to investigative file.,false
REF00277,CASE0011,FIR,FIR000099,Case reference linking FIR record FIR000099 to investigative file.,false
REF00278,CASE0036,FIR,FIR000235,Case reference linking FIR record FIR000235 to investigative file.,false
REF00279,CASE0054,CDR,CDR006851,Case reference linking CDR record CDR006851 to investigative file.,false
REF00280,CASE0053,Surveillance,SR00059,Case reference linking Surveillance record SR00059 to investigative file.,false
REF00281,CASE0037,FIR,FIR000221,Case reference linking FIR record FIR000221 to investigative file.,false
REF00282,CASE0060,CDR,CDR005676,Case reference linking CDR record CDR005676 to investigative file.,false
REF00283,CASE0005,Transaction,TXN004281,Case reference linking Transaction record TXN004281 to investigative file.,false
REF00284,CASE0055,FIR,FIR000014,Case reference linking FIR record FIR000014 to investigative file.,false
REF00285,CASE0052,Transaction,TXN002941,Case reference linking Transaction record TXN002941 to investigative file.,false
REF00286,CASE0057,Surveillance,SR00133,Case reference linking Surveillance record SR00133 to investigative file.,false
REF00287,CASE0036,Transaction,TXN002641,Case reference linking Transaction record TXN002641 to investigative file.,false
REF00288,CASE0004,FIR,FIR000133,Case reference linking FIR record FIR000133 to investigative file.,false
REF00289,CASE0023,Surveillance,SR00020,Case reference linking Surveillance record SR00020 to investigative file.,false
REF00290,CASE0002,CDR,CDR000651,Case reference linking CDR record CDR000651 to investigative file.,false
REF00291,CASE0024,Transaction,TXN004521,Case reference linking Transaction record TXN004521 to investigative file.,false
REF00292,CASE0052,Surveillance,SR00127,Case reference linking Surveillance record SR00127 to investigative file.,false
REF00293,CASE0011,FIR,FIR000247,Case reference linking FIR record FIR000247 to investigative file.,false
REF00294,CASE0010,FIR,FIR000065,Case reference linking FIR record FIR000065 to investigative file.,false
REF00295,CASE0001,Transaction,TXN001541,Case reference linking Transaction record TXN001541 to investigative file.,false
REF00296,CASE0008,CDR,CDR008451,Case reference linking CDR record CDR008451 to investigative file.,false
REF00297,CASE0054,FIR,FIR000220,Case reference linking FIR record FIR000220 to investigative file.,false
REF00298,CASE0032,Transaction,TXN004601,Case reference linking Transaction record TXN004601 to investigative file.,false
