reference_id,case_id,source_type,reference_text
REF00035,CASE0129,lab_summary,Synthetic case reference record 35 for investigative cross-check.
REF00036,CASE0123,prior_case_link,Synthetic case reference record 36 for investigative cross-check.
REF00037,CASE0099,prior_case_link,Synthetic case reference record 37 for investigative cross-check.
REF00038,CASE0050,witness_statement,Synthetic case reference record 38 for investigative cross-check.
REF00039,CASE0227,prior_case_link,Synthetic case reference record 39 for investigative cross-check.
REF00040,CASE0019,lab_summary,Synthetic case reference record 40 for investigative cross-check.
REF00041,CASE0156,field_note,Synthetic case reference record 41 for investigative cross-check.
REF00042,CASE0177,prior_case_link,Synthetic case reference record 42 for investigative cross-check.
REF00043,CASE0228,tip_off,Synthetic case reference record 43 for investigative cross-check.
REF00044,CASE0166,witness_statement,Synthetic case reference record 44 for investigative cross-check.
REF00045,CASE0096,document_scan,Synthetic case reference record 45 for investigative cross-check.
REF00046,CASE0126,prior_case_link,Synthetic case reference record 46 for investigative cross-check.
REF00047,CASE0114,witness_statement,Synthetic case reference record 47 for investigative cross-check.
REF00048,CASE0178,tip_off,Synthetic case reference record 48 for investigative cross-check.
REF00049,CASE0022,tip_off,Synthetic case reference record 49 for investigative cross-check.
REF00050,CASE0030,witness_statement,Synthetic case reference record 50 for investigative cross-check.
REF00051,CASE0103,witness_statement,Synthetic case reference record 51 for investigative cross-check.
REF00052,CASE0232,document_scan,Synthetic case reference record 52 for investigative cross-check.
REF00053,CASE0221,lab_summary,Synthetic case reference record 53 for investigative cross-check.
REF00054,CASE0176,tip_off,Synthetic case reference record 54 for investigative cross-check.
REF00055,CASE0037,witness_statement,Synthetic case reference record 55 for investigative cross-check.
REF00056,CASE0104,witness_statement,Synthetic case reference record 56 for investigative cross-check.
REF00057,CASE0081,prior_case_link,Synthetic case reference record 57 for investigative cross-check.
REF00058,CASE0153,field_note,Synthetic case reference record 58 for investigative cross-check.
REF00059,CASE0058,tip_off,Synthetic case reference record 59 for investigative cross-check.
REF00060,CASE0210,lab_summary,Synthetic case reference record 60 for investigative cross-check.
REF00061,CASE0032,lab_summary,Synthetic case reference record 61 for investigative cross-check.
REF00062,CASE0046,witness_statement,Synthetic case reference record 62 for investigative cross-check.
REF00063,CASE0180,tip_off,Synthetic case reference record 63 for investigative cross-check.
REF00064,CASE0129,lab_summary,Synthetic case reference record 64 for investigative cross-check.
REF00065,CASE0139,tip_off,Synthetic case reference record 65 for investigative cross-check.
REF00066,CASE0023,tip_off,Synthetic case reference record 66 for investigative cross-check.
REF00067,CASE0087,prior_case_link,Synthetic case reference record 67 for investigative cross-check.
REF00068,CASE0179,field_note,Synthetic case reference record 68 for investigative cross-check.
REF00069,CASE0226,tip_off,Synthetic case reference record 69 for investigative cross-check.
REF00070,CASE0103,witness_statement,Synthetic case reference record 70 for investigative cross-check.
REF00071,CASE0089,prior_case_link,Synthetic case reference record 71 for investigative cross-check.
REF00072,CASE0197,witness_statement,Synthetic case reference record 72 for investigative cross-check.
REF00073,CASE0123,document_scan,Synthetic case reference record 73 for investigative cross-check.
REF00074,CASE0120,prior_case_link,Synthetic case reference record 74 for investigative cross-check.
REF00075,CASE0022,witness_statement,Synthetic case reference record 75 for investigative cross-check.
REF00076,CASE0130,field_note,Synthetic case reference record 76 for investigative cross-check.
REF00077,CASE0232,document_scan,Synthetic case reference record 77 for investigative cross-check.
REF00078,CASE0166,tip_off,Synthetic case reference record 78 for investigative cross-check.
REF00079,CASE0225,document_scan,Synthetic case reference record 79 for investigative cross-check.
REF00080,CASE0008,tip_off,Synthetic case reference record 80 for investigative cross-check.
REF00081,CASE0207,witness_statement,Synthetic case reference record 81 for investigative cross-check.
REF00082,CASE0047,tip_off,Synthetic case reference record 82 for investigative cross-check.
REF00083,CASE0182,document_scan,Synthetic case reference record 83 for investigative cross-check.
REF00084,CASE0042,document_scan,Synthetic case reference record 84 for investigative cross-check.
REF00085,CASE0003,prior_case_link,Synthetic case reference record 85 for investigative cross-check.
REF00086,CASE0164,witness_statement,Synthetic case reference record 86 for investigative cross-check.
REF00087,CASE0232,field_note,Synthetic case reference record 87 for investigative cross-check.
REF00088,CASE0065,lab_summary,Synthetic case reference record 88 for investigative cross-check.
REF00089,CASE0189,witness_statement,Synthetic case reference record 89 for investigative cross-check.
REF00090,CASE0115,document_scan,Synthetic case reference record 90 for investigative cross-check.
REF00091,CASE0122,lab_summary,Synthetic case reference record 91 for investigative cross-check.
REF00092,CASE0027,tip_off,Synthetic case reference record 92 for investigative cross-check.
REF00093,CASE0167,tip_off,Synthetic case reference record 93 for investigative cross-check.
REF00094,CASE0177,document_scan,Synthetic case reference record 94 for investigative cross-check.
REF00095,CASE0225,witness_statement,Synthetic case reference record 95 for investigative cross-check.
REF00096,CASE0074,witness_statement,Synthetic case reference record 96 for investigative cross-check.
REF00097,CASE0041,witness_statement,Synthetic case reference record 97 for investigative cross-check.
REF00098,CASE0153,document_scan,Synthetic case reference record 98 for investigative cross-check.
REF00099,CASE0017,lab_summary,Synthetic case reference record 99 for investigative cross-check.
REF00100,CASE0015,lab_summary,Synthetic case reference record 100 for investigative cross-check.
REF00101,CASE0034,lab_summary,Synthetic case reference record 101 for investigative cross-check.
REF00102,CASE0185,field_note,Synthetic case reference record 102 for investigative cross-check.
REF00103,CASE0064,lab_summary,Synthetic case reference record 103 for investigative cross-check.
REF00104,CASE0067,field_note,Synthetic case reference record 104 for investigative cross-check.
REF00105,CASE0108,document_scan,Synthetic case reference record 105 for investigative cross-check.
REF00106,CASE0176,lab_summary,Synthetic case reference record 106 for investigative cross-check.
REF00107,CASE0096,tip_off,Synthetic case reference record 107 for investigative cross-check.
REF00108,CASE0229,prior_case_link,Synthetic case reference record 108 for investigative cross-check.
REF00109,CASE0212,lab_summary,Synthetic case reference record 109 for investigative cross-check.
REF00110,CASE0200,lab_summary,Synthetic case reference record 110 for investigative cross-check.
REF00111,CASE0127,lab_summary,Synthetic case reference record 111 for investigative cross-check.
REF00112,CASE0081,tip_off,Synthetic case reference record 112 for investigative cross-check.
REF00113,CASE0049,lab_summary,Synthetic case reference record 113 for investigative cross-check.
REF00114,CASE0117,document_scan,Synthetic case reference record 114 for investigative cross-check.
REF00115,CASE0238,field_note,Synthetic case reference record 115 for investigative cross-check.
REF00116,CASE0182,tip_off,Synthetic case reference record 116 for investigative cross-check.
REF00117,CASE0233,tip_off,Synthetic case reference record 117 for investigative cross-check.
REF00118,CASE0017,lab_summary,Synthetic case reference record 118 for investigative cross-check.
REF00119,CASE0170,document_scan,Synthetic case reference record 119 for investigative cross-check.
REF00120,CASE0238,tip_off,Synthetic case reference record 120 for investigative cross-check.
REF00121,CASE0185,document_scan,Synthetic case reference record 121 for investigative cross-check.
REF00122,CASE0025,lab_summary,Synthetic case reference record 122 for investigative cross-check.
REF00123,CASE0021,lab_summary,Synthetic case reference record 123 for investigative cross-check.
REF00124,CASE0031,lab_summary,Synthetic case reference record 124 for investigative cross-check.
REF00125,CASE0233,lab_summary,Synthetic case reference record 125 for investigative cross-check.
REF00126,CASE0102,field_note,Synthetic case reference record 126 for investigative cross-check.
REF00127,CASE0210,prior_case_link,Synthetic case reference record 127 for investigative cross-check.
REF00128,CASE0184,document_scan,Synthetic case reference record 128 for investigative cross-check.
REF00129,CASE0221,prior_case_link,Synthetic case reference record 129 for investigative cross-check.
REF00130,CASE0103,tip_off,Synthetic case reference record 130 for investigative cross-check.
REF00131,CASE0070,witness_statement,Synthetic case reference record 131 for investigative cross-check.
REF00132,CASE0191,lab_summary,Synthetic case reference record 132 for investigative cross-check.
REF00133,CASE0238,lab_summary,Synthetic case reference record 133 for investigative cross-check.
REF00134,CASE0229,field_note,Synthetic case reference record 134 for investigative cross-check.
REF00135,CASE0009,witness_statement,Synthetic case reference record 135 for investigative cross-check.
REF00136,CASE0233,tip_off,Synthetic case reference record 136 for investigative cross-check.
REF00137,CASE0051,field_note,Synthetic case reference record 137 for investigative cross-check.
REF00138,CASE0102,tip_off,Synthetic case reference record 138 for investigative cross-check.
REF00139,CASE0047,prior_case_link,Synthetic case reference record 139 for investigative cross-check.
REF00140,CASE0219,field_note,Synthetic case reference record 140 for investigative cross-check.
REF00141,CASE0074,witness_statement,Synthetic case reference record 141 for investigative cross-check.
REF00142,CASE0142,lab_summary,Synthetic case reference record 142 for investigative cross-check.
REF00143,CASE0189,prior_case_link,Synthetic case reference record 143 for investigative cross-check.
REF00144,CASE0185,witness_statement,Synthetic case reference record 144 for investigative cross-check.
REF00145,CASE0082,document_scan,Synthetic case reference record 145 for investigative cross-check.
REF00146,CASE0158,witness_statement,Synthetic case reference record 146 for investigative cross-check.
REF00147,CASE0222,witness_statement,Synthetic case reference record 147 for investigative cross-check.
REF00148,CASE0160,witness_statement,Synthetic case reference record 148 for investigative cross-check.
REF00149,CASE0211,tip_off,Synthetic case reference record 149 for investigative cross-check.
REF00150,CASE0144,tip_off,Synthetic case reference record 150 for investigative cross-check.
REF00151,CASE0238,field_note,Synthetic case reference record 151 for investigative cross-check.
REF00152,CASE0197,witness_statement,Synthetic case reference record 152 for investigative cross-check.
REF00153,CASE0063,prior_case_link,Synthetic case reference record 153 for investigative cross-check.
REF00154,CASE0175,lab_summary,Synthetic case reference record 154 for investigative cross-check.
REF00155,CASE0152,tip_off,Synthetic case reference record 155 for investigative cross-check.
REF00156,CASE0108,tip_off,Synthetic case reference record 156 for investigative cross-check.
REF00157,CASE0231,prior_case_link,Synthetic case reference record 157 for investigative cross-check.
REF00158,CASE0088,prior_case_link,Synthetic case reference record 158 for investigative cross-check.
REF00159,CASE0102,prior_case_link,Synthetic case reference record 159 for investigative cross-check.
REF00160,CASE0062,document_scan,Synthetic case reference record 160 for investigative cross-check.
REF00161,CASE0012,lab_summary,Synthetic case reference record 161 for investigative cross-check.
REF00162,CASE0142,witness_statement,Synthetic case reference record 162 for investigative cross-check.
REF00163,CASE0042,tip_off,Synthetic case reference record 163 for investigative cross-check.
REF00164,CASE0066,document_scan,Synthetic case reference record 164 for investigative cross-check.
REF00165,CASE0120,document_scan,Synthetic case reference record 165 for investigative cross-check.
REF00166,CASE0027,prior_case_link,Synthetic case reference record 166 for investigative cross-check.
REF00167,CASE0115,prior_case_link,Synthetic case reference record 167 for investigative cross-check.
REF00168,CASE0157,field_note,Synthetic case reference record 168 for investigative cross-check.
REF00169,CASE0119,tip_off,Synthetic case reference record 169 for investigative cross-check.
REF00170,CASE0032,lab_summary,Synthetic case reference record 170 for investigative cross-check.
REF00171,CASE0174,lab_summary,Synthetic case reference record 171 for investigative cross-check.
REF00172,CASE0200,tip_off,Synthetic case reference record 172 for investigative cross-check.
REF00173,CASE0187,prior_case_link,Synthetic case reference record 173 for investigative cross-check.
REF00174,CASE0068,prior_case_link,Synthetic case reference record 174 for investigative cross-check.
REF00175,CASE0006,lab_summary,Synthetic case reference record 175 for investigative cross-check.
REF00176,CASE0218,prior_case_link,Synthetic case reference record 176 for investigative cross-check.
REF00177,CASE0048,tip_off,Synthetic case reference record 177 for investigative cross-check.
REF00178,CASE0183,lab_summary,Synthetic case reference record 178 for investigative cross-check.
REF00179,CASE0019,witness_statement,Synthetic case reference record 179 for investigative cross-check.
REF00180,CASE0069,field_note,Synthetic case reference record 180 for investigative cross-check.
REF00181,CASE0240,document_scan,Synthetic case reference record 181 for investigative cross-check.
REF00182,CASE0195,field_note,Synthetic case reference record 182 for investigative cross-check.
REF00183,CASE0014,witness_statement,Synthetic case reference record 183 for investigative cross-check.
REF00184,CASE0172,prior_case_link,Synthetic case reference record 184 for investigative cross-check.
REF00185,CASE0192,tip_off,Synthetic case reference record 185 for investigative cross-check.
REF00186,CASE0090,tip_off,Synthetic case reference record 186 for investigative cross-check.
REF00187,CASE0111,field_note,Synthetic case reference record 187 for investigative cross-check.
REF00188,CASE0103,prior_case_link,Synthetic case reference record 188 for investigative cross-check.
REF00189,CASE0046,prior_case_link,Synthetic case reference record 189 for investigative cross-check.
REF00190,CASE0076,field_note,Synthetic case reference record 190 for investigative cross-check.
REF00191,CASE0147,lab_summary,Synthetic case reference record 191 for investigative cross-check.
REF00192,CASE0123,document_scan,Synthetic case reference record 192 for investigative cross-check.
REF00193,CASE0166,witness_statement,Synthetic case reference record 193 for investigative cross-check.
REF00194,CASE0027,document_scan,Synthetic case reference record 194 for investigative cross-check.
REF00195,CASE0054,witness_statement,Synthetic case reference record 195 for investigative cross-check.
REF00196,CASE0212,lab_summary,Synthetic case reference record 196 for investigative cross-check.
REF00197,CASE0158,lab_summary,Synthetic case reference record 197 for investigative cross-check.
REF00198,CASE0203,field_note,Synthetic case reference record 198 for investigative cross-check.
REF00199,CASE0094,lab_summary,Synthetic case reference record 199 for investigative cross-check.
REF00200,CASE0223,prior_case_link,Synthetic case reference record 200 for investigative cross-check.
REF00201,CASE0100,document_scan,Synthetic case reference record 201 for investigative cross-check.
REF00202,CASE0102,field_note,Synthetic case reference record 202 for investigative cross-check.
REF00203,CASE0122,field_note,Synthetic case reference record 203 for investigative cross-check.
REF00204,CASE0088,tip_off,Synthetic case reference record 204 for investigative cross-check.
REF00205,CASE0053,lab_summary,Synthetic case reference record 205 for investigative cross-check.
REF00206,CASE0100,witness_statement,Synthetic case reference record 206 for investigative cross-check.
REF00207,CASE0105,tip_off,Synthetic case reference record 207 for investigative cross-check.
REF00208,CASE0147,prior_case_link,Synthetic case reference record 208 for investigative cross-check.
REF00209,CASE0166,document_scan,Synthetic case reference record 209 for investigative cross-check.
REF00210,CASE0230,witness_statement,Synthetic case reference record 210 for investigative cross-check.
REF00211,CASE0199,field_note,Synthetic case reference record 211 for investigative cross-check.
REF00212,CASE0124,prior_case_link,Synthetic case reference record 212 for investigative cross-check.
REF00213,CASE0090,lab_summary,Synthetic case reference record 213 for investigative cross-check.
REF00214,CASE0219,field_note,Synthetic case reference record 214 for investigative cross-check.
REF00215,CASE0135,prior_case_link,Synthetic case reference record 215 for investigative cross-check.
REF00216,CASE0169,witness_statement,Synthetic case reference record 216 for investigative cross-check.
REF00217,CASE0181,field_note,Synthetic case reference record 217 for investigative cross-check.
REF00218,CASE0029,lab_summary,Synthetic case reference record 218 for investigative cross-check.
REF00219,CASE0218,document_scan,Synthetic case reference record 219 for investigative cross-check.
REF00220,CASE0090,witness_statement,Synthetic case reference record 220 for investigative cross-check.
REF00221,CASE0164,lab_summary,Synthetic case reference record 221 for investigative cross-check.
REF00222,CASE0022,document_scan,Synthetic case reference record 222 for investigative cross-check.
REF00223,CASE0059,field_note,Synthetic case reference record 223 for investigative cross-check.
REF00224,CASE0134,field_note,Synthetic case reference record 224 for investigative cross-check.
REF00225,CASE0128,prior_case_link,Synthetic case reference record 225 for investigative cross-check.
REF00226,CASE0045,prior_case_link,Synthetic case reference record 226 for investigative cross-check.
REF00227,CASE0013,field_note,Synthetic case reference record 227 for investigative cross-check.
REF00228,CASE0227,tip_off,Synthetic case reference record 228 for investigative cross-check.
REF00229,CASE0018,prior_case_link,Synthetic case reference record 229 for investigative cross-check.
REF00230,CASE0142,tip_off,Synthetic case reference record 230 for investigative cross-check.
REF00231,CASE0016,prior_case_link,Synthetic case reference record 231 for investigative cross-check.
REF00232,CASE0174,witness_statement,Synthetic case reference record 232 for investigative cross-check.
REF00233,CASE0220,tip_off,Synthetic case reference record 233 for investigative cross-check.
REF00234,CASE0124,lab_summary,Synthetic case reference record 234 for investigative cross-check.
REF00235,CASE0049,prior_case_link,Synthetic case reference record 235 for investigative cross-check.
REF00236,CASE0061,tip_off,Synthetic case reference record 236 for investigative cross-check.
REF00237,CASE0106,witness_statement,Synthetic case reference record 237 for investigative cross-check.
REF00238,CASE0209,field_note,Synthetic case reference record 238 for investigative cross-check.
REF00239,CASE0193,lab_summary,Synthetic case reference record 239 for investigative cross-check.
REF00240,CASE0011,prior_case_link,Synthetic case reference record 240 for investigative cross-check.
REF00241,CASE0037,lab_summary,Synthetic case reference record 241 for investigative cross-check.
REF00242,CASE0139,document_scan,Synthetic case reference record 242 for investigative cross-check.
REF00243,CASE0199,prior_case_link,Synthetic case reference record 243 for investigative cross-check.
REF00244,CASE0004,witness_statement,Synthetic case reference record 244 for investigative cross-check.
REF00245,CASE0101,tip_off,Synthetic case reference record 245 for investigative cross-check.
REF00246,CASE0029,witness_statement,Synthetic case reference record 246 for investigative cross-check.
REF00247,CASE0110,field_note,Synthetic case reference record 247 for investigative cross-check.
REF00248,CASE0198,witness_statement,Synthetic case reference record 248 for investigative cross-check.
REF00249,CASE0185,document_scan,Synthetic case reference record 249 for investigative cross-check.
REF00250,CASE0025,tip_off,Synthetic case reference record 250 for investigative cross-check.
REF00251,CASE0023,document_scan,Synthetic case reference record 251 for investigative cross-check.
REF00252,CASE0166,prior_case_link,Synthetic case reference record 252 for investigative cross-check.
REF00253,CASE0095,lab_summary,Synthetic case reference record 253 for investigative cross-check.
REF00254,CASE0151,document_scan,Synthetic case reference record 254 for investigative cross-check.
REF00255,CASE0110,witness_statement,Synthetic case reference record 255 for investigative cross-check.
REF00256,CASE0165,lab_summary,Synthetic case reference record 256 for investigative cross-check.
REF00257,CASE0040,prior_case_link,Synthetic case reference record 257 for investigative cross-check.
REF00258,CASE0068,witness_statement,Synthetic case reference record 258 for investigative cross-check.
REF00259,CASE0068,witness_statement,Synthetic case reference record 259 for investigative cross-check.
REF00260,CASE0113,field_note,Synthetic case reference record 260 for investigative cross-check.
REF00261,CASE0141,document_scan,Synthetic case reference record 261 for investigative cross-check.
REF00262,CASE0169,witness_statement,Synthetic case reference record 262 for investigative cross-check.
REF00263,CASE0162,prior_case_link,Synthetic case reference record 263 for investigative cross-check.
REF00264,CASE0050,document_scan,Synthetic case reference record 264 for investigative cross-check.
REF00265,CASE0025,tip_off,Synthetic case reference record 265 for investigative cross-check.
REF00266,CASE0170,witness_statement,Synthetic case reference record 266 for investigative cross-check.
REF00267,CASE0106,lab_summary,Synthetic case reference record 267 for investigative cross-check.
REF00268,CASE0220,prior_case_link,Synthetic case reference record 268 for investigative cross-check.
REF00269,CASE0157,document_scan,Synthetic case reference record 269 for investigative cross-check.
REF00270,CASE0107,tip_off,Synthetic case reference record 270 for investigative cross-check.
REF00271,CASE0229,document_scan,Synthetic case reference record 271 for investigative cross-check.
REF00272,CASE0003,lab_summary,Synthetic case reference record 272 for investigative cross-check.
REF00273,CASE0115,witness_statement,Synthetic case reference record 273 for investigative cross-check.
REF00274,CASE0045,witness_statement,Synthetic case reference record 274 for investigative cross-check.
REF00275,CASE0026,document_scan,Synthetic case reference record 275 for investigative cross-check.
REF00276,CASE0210,lab_summary,Synthetic case reference record 276 for investigative cross-check.
REF00277,CASE0219,field_note,Synthetic case reference record 277 for investigative cross-check.
REF00278,CASE0119,witness_statement,Synthetic case reference record 278 for investigative cross-check.
REF00279,CASE0199,document_scan,Synthetic case reference record 279 for investigative cross-check.
REF00280,CASE0213,prior_case_link,Synthetic case reference record 280 for investigative cross-check.
REF00281,CASE0007,field_note,Synthetic case reference record 281 for investigative cross-check.
REF00282,CASE0060,field_note,Synthetic case reference record 282 for investigative cross-check.
REF00283,CASE0118,lab_summary,Synthetic case reference record 283 for investigative cross-check.
REF00284,CASE0029,lab_summary,Synthetic case reference record 284 for investigative cross-check.
REF00285,CASE0164,tip_off,Synthetic case reference record 285 for investigative cross-check.
REF00286,CASE0220,document_scan,Synthetic case reference record 286 for investigative cross-check.
REF00287,CASE0196,lab_summary,Synthetic case reference record 287 for investigative cross-check.
REF00288,CASE0219,tip_off,Synthetic case reference record 288 for investigative cross-check.
REF00289,CASE0129,prior_case_link,Synthetic case reference record 289 for investigative cross-check.
REF00290,CASE0025,document_scan,Synthetic case reference record 290 for investigative cross-check.
REF00291,CASE0079,lab_summary,Synthetic case reference record 291 for investigative cross-check.
REF00292,CASE0010,lab_summary,Synthetic case reference record 292 for investigative cross-check.
REF00293,CASE0137,document_scan,Synthetic case reference record 293 for investigative cross-check.
REF00294,CASE0146,prior_case_link,Synthetic case reference record 294 for investigative cross-check.
REF00295,CASE0234,tip_off,Synthetic case reference record 295 for investigative cross-check.
REF00296,CASE0168,prior_case_link,Synthetic case reference record 296 for investigative cross-check.
REF00297,CASE0162,witness_statement,Synthetic case reference record 297 for investigative cross-check.
REF00298,CASE0054,lab_summary,Synthetic case reference record 298 for investigative cross-check.
REF00299,CASE0074,field_note,Synthetic case reference record 299 for investigative cross-check.
REF00300,CASE0194,tip_off,Synthetic case reference record 300 for investigative cross-check.
REF00301,CASE0089,document_scan,Synthetic case reference record 301 for investigative cross-check.
REF00302,CASE0040,tip_off,Synthetic case reference record 302 for investigative cross-check.
REF00303,CASE0205,prior_case_link,Synthetic case reference record 303 for investigative cross-check.
REF00304,CASE0112,lab_summary,Synthetic case reference record 304 for investigative cross-check.
REF00305,CASE0215,lab_summary,Synthetic case reference record 305 for investigative cross-check.
REF00306,CASE0084,witness_statement,Synthetic case reference record 306 for investigative cross-check.
REF00307,CASE0226,witness_statement,Synthetic case reference record 307 for investigative cross-check.
REF00308,CASE0220,lab_summary,Synthetic case reference record 308 for investigative cross-check.
REF00309,CASE0119,tip_off,Synthetic case reference record 309 for investigative cross-check.
REF00310,CASE0072,field_note,Synthetic case reference record 310 for investigative cross-check.
REF00311,CASE0026,tip_off,Synthetic case reference record 311 for investigative cross-check.
REF00312,CASE0041,document_scan,Synthetic case reference record 312 for investigative cross-check.
REF00313,CASE0059,lab_summary,Synthetic case reference record 313 for investigative cross-check.
REF00314,CASE0072,prior_case_link,Synthetic case reference record 314 for investigative cross-check.
REF00315,CASE0022,field_note,Synthetic case reference record 315 for investigative cross-check.
REF00316,CASE0179,witness_statement,Synthetic case reference record 316 for investigative cross-check.
REF00317,CASE0088,prior_case_link,Synthetic case reference record 317 for investigative cross-check.
REF00318,CASE0212,tip_off,Synthetic case reference record 318 for investigative cross-check.
REF00319,CASE0031,prior_case_link,Synthetic case reference record 319 for investigative cross-check.
REF00320,CASE0159,document_scan,Synthetic case reference record 320 for investigative cross-check.
REF00321,CASE0170,document_scan,Synthetic case reference record 321 for investigative cross-check.
REF00322,CASE0236,witness_statement,Synthetic case reference record 322 for investigative cross-check.
REF00323,CASE0166,tip_off,Synthetic case reference record 323 for investigative cross-check.
REF00324,CASE0074,tip_off,Synthetic case reference record 324 for investigative cross-check.
REF00325,CASE0011,field_note,Synthetic case reference record 325 for investigative cross-check.
REF00326,CASE0143,prior_case_link,Synthetic case reference record 326 for investigative cross-check.
REF00327,CASE0067,witness_statement,Synthetic case reference record 327 for investigative cross-check.
REF00328,CASE0132,document_scan,Synthetic case reference record 328 for investigative cross-check.
REF00329,CASE0105,witness_statement,Synthetic case reference record 329 for investigative cross-check.
REF00330,CASE0156,field_note,Synthetic case reference record 330 for investigative cross-check.
REF00331,CASE0131,field_note,Synthetic case reference record 331 for investigative cross-check.
REF00332,CASE0002,tip_off,Synthetic case reference record 332 for investigative cross-check.
REF00333,CASE0038,prior_case_link,Synthetic case reference record 333 for investigative cross-check.
REF00334,CASE0147,field_note,Synthetic case reference record 334 for investigative cross-check.
REF00335,CASE0189,witness_statement,Synthetic case reference record 335 for investigative cross-check.
REF00336,CASE0074,field_note,Synthetic case reference record 336 for investigative cross-check.
REF00337,CASE0133,prior_case_link,Synthetic case reference record 337 for investigative cross-check.
REF00338,CASE0020,witness_statement,Synthetic case reference record 338 for investigative cross-check.
REF00339,CASE0106,field_note,Synthetic case reference record 339 for investigative cross-check.
REF00340,CASE0088,lab_summary,Synthetic case reference record 340 for investigative cross-check.
REF00341,CASE0213,prior_case_link,Synthetic case reference record 341 for investigative cross-check.
REF00342,CASE0048,tip_off,Synthetic case reference record 342 for investigative cross-check.
REF00343,CASE0215,witness_statement,Synthetic case reference record 343 for investigative cross-check.
REF00344,CASE0077,prior_case_link,Synthetic case reference record 344 for investigative cross-check.
REF00345,CASE0089,field_note,Synthetic case reference record 345 for investigative cross-check.
REF00346,CASE0150,lab_summary,Synthetic case reference record 346 for investigative cross-check.
REF00347,CASE0048,lab_summary,Synthetic case reference record 347 for investigative cross-check.
REF00348,CASE0101,field_note,Synthetic case reference record 348 for investigative cross-check.
REF00349,CASE0203,prior_case_link,Synthetic case reference record 349 for investigative cross-check.
REF00350,CASE0061,witness_statement,Synthetic case reference record 350 for investigative cross-check.
REF00351,CASE0113,prior_case_link,Synthetic case reference record 351 for investigative cross-check.
REF00352,CASE0120,lab_summary,Synthetic case reference record 352 for investigative cross-check.
REF00353,CASE0032,field_note,Synthetic case reference record 353 for investigative cross-check.
REF00354,CASE0023,document_scan,Synthetic case reference record 354 for investigative cross-check.
REF00355,CASE0008,lab_summary,Synthetic case reference record 355 for investigative cross-check.
REF00356,CASE0097,witness_statement,Synthetic case reference record 356 for investigative cross-check.
REF00357,CASE0042,witness_statement,Synthetic case reference record 357 for investigative cross-check.
REF00358,CASE0046,prior_case_link,Synthetic case reference record 358 for investigative cross-check.
REF00359,CASE0130,document_scan,Synthetic case reference record 359 for investigative cross-check.
REF00360,CASE0226,tip_off,Synthetic case reference record 360 for investigative cross-check.
REF00361,CASE0042,document_scan,Synthetic case reference record 361 for investigative cross-check.
