ownership_id,asset_type,asset_id,person_id,valid_from,valid_to
OWN00086,phone,PH00269,P00437,2019-04-05,
OWN00087,vehicle,V00429,P00526,2024-03-13,
OWN00088,vehicle,V00385,P02000,2025-02-14,
OWN00089,vehicle,V00510,P01411,2024-03-22,
OWN00090,phone,PH01795,P01961,2022-11-24,
OWN00091,bank_account,A00082,P00209,2024-09-12,
OWN00092,phone,PH02725,P01834,2025-07-04,
OWN00093,bank_account,A01248,P00316,2024-01-13,
OWN00094,bank_account,A00859,P00428,2022-05-14,
OWN00095,vehicle,V00575,P01806,2021-03-05,
OWN00096,phone,PH01510,P01247,2023-11-11,
OWN00097,bank_account,A01547,P01346,2023-01-21,
OWN00098,bank_account,A00422,P01234,2019-10-15,
OWN00099,phone,PH00684,P00987,2023-09-07,
OWN00100,phone,PH00691,P01173,2020-06-04,
OWN00101,bank_account,A01480,P01768,2020-05-01,
OWN00102,phone,PH02755,P00863,2019-05-30,
OWN00103,bank_account,A00101,P00143,2019-08-06,
OWN00104,phone,PH01369,P00055,2019-10-27,
OWN00105,vehicle,V00111,P01272,2020-08-26,
OWN00106,vehicle,V00228,P00888,2025-02-27,
OWN00107,bank_account,A00036,P01454,2020-12-05,
OWN00108,phone,PH01318,P01493,2022-04-17,
OWN00109,bank_account,A01354,P01996,2024-07-19,
OWN00110,bank_account,A00745,P00111,2021-10-25,
OWN00111,vehicle,V00529,P00324,2024-08-29,
OWN00112,phone,PH01197,P01862,2018-07-11,
OWN00113,vehicle,V00717,P01050,2021-06-25,
OWN00114,vehicle,V00361,P01779,2018-06-25,
OWN00115,vehicle,V00445,P00863,2025-01-05,
OWN00116,bank_account,A01008,P00752,2022-05-17,
OWN00117,phone,PH02172,P01948,2019-07-07,
OWN00118,phone,PH00691,P01173,2021-07-06,
OWN00119,vehicle,V00550,P00352,2018-05-01,
OWN00120,bank_account,A01552,P00458,2021-05-01,
OWN00121,phone,PH00337,P01928,2021-01-15,
OWN00122,phone,PH02624,P01982,2022-02-19,
OWN00123,phone,PH01817,P01331,2021-10-05,
OWN00124,vehicle,V00465,P00791,2020-06-13,
OWN00125,vehicle,V00400,P01167,2019-06-09,
OWN00126,bank_account,A00158,P01689,2025-06-14,
OWN00127,phone,PH01378,P00514,2021-06-29,
OWN00128,bank_account,A01554,P00173,2018-07-11,
OWN00129,bank_account,A01082,P01438,2020-04-28,
OWN00130,vehicle,V00627,P00913,2022-03-08,
OWN00131,bank_account,A01516,P01617,2024-10-22,
OWN00132,vehicle,V00051,P00535,2018-06-05,
OWN00133,vehicle,V00488,P00039,2023-04-18,
OWN00134,vehicle,V00156,P00828,2021-06-23,
OWN00135,phone,PH01496,P01533,2021-10-25,
OWN00136,bank_account,A01993,P01052,2021-06-18,
OWN00137,phone,PH02621,P01733,2021-03-13,
OWN00138,bank_account,A00600,P00247,2022-11-03,
OWN00139,vehicle,V00575,P01806,2023-03-19,
OWN00140,bank_account,A00315,P01517,2022-10-20,
OWN00141,phone,PH02230,P00253,2018-07-27,
OWN00142,phone,PH02074,P00052,2021-10-28,
OWN00143,phone,PH01999,P00293,2023-05-19,
OWN00144,vehicle,V00674,P01987,2022-08-17,
OWN00145,phone,PH00474,P01273,2020-12-20,
OWN00146,vehicle,V00843,P00494,2025-03-02,
OWN00147,vehicle,V00524,P01710,2022-08-29,
OWN00148,vehicle,V00564,P01282,2018-03-05,
OWN00149,phone,PH00703,P01846,2025-10-17,
OWN00150,vehicle,V00234,P01554,2020-05-18,
OWN00151,vehicle,V00109,P01287,2025-11-05,
OWN00152,vehicle,V00675,P01926,2018-12-21,
OWN00153,bank_account,A00333,P01616,2023-08-10,
OWN00154,phone,PH01619,P00759,2020-01-23,
OWN00155,phone,PH02766,P01422,2022-03-11,
OWN00156,vehicle,V00443,P01347,2019-07-16,
OWN00157,vehicle,V00006,P01057,2018-10-26,
OWN00158,bank_account,A00944,P01332,2021-01-22,
OWN00159,vehicle,V00829,P01125,2022-10-09,
OWN00160,vehicle,V00128,P01416,2024-07-27,
OWN00161,vehicle,V00017,P00345,2024-03-05,
OWN00162,bank_account,A01973,P01980,2018-07-12,
OWN00163,phone,PH01064,P01178,2021-02-09,
OWN00164,phone,PH01678,P01400,2025-05-20,
OWN00165,vehicle,V00572,P01651,2025-10-11,
OWN00166,phone,PH01164,P00229,2021-05-11,
OWN00167,bank_account,A01308,P01508,2025-01-22,
OWN00168,vehicle,V00337,P01555,2021-02-15,
OWN00169,vehicle,V00184,P01162,2021-03-24,
OWN00170,bank_account,A01791,P01873,2021-09-17,
OWN00171,vehicle,V00261,P01778,2023-12-04,
OWN00172,phone,PH01343,P00179,2025-06-03,
OWN00173,vehicle,V00469,P00596,2018-02-16,
OWN00174,bank_account,A00286,P00898,2023-04-03,
OWN00175,phone,PH01878,P00230,2025-01-07,
OWN00176,bank_account,A01145,P01387,2020-12-13,
OWN00177,bank_account,A00317,P00373,2021-12-06,
OWN00178,vehicle,V00685,P01361,2019-10-13,
OWN00179,bank_account,A00312,P01470,2024-06-11,
OWN00180,bank_account,A00126,P01690,2020-02-25,
OWN00181,bank_account,A00182,P00185,2024-09-07,
OWN00182,phone,PH02428,P01618,2020-10-22,
OWN00183,vehicle,V00800,P00567,2019-09-30,
OWN00184,bank_account,A01220,P01386,2024-11-10,
OWN00185,vehicle,V00729,P00786,2020-10-27,
OWN00186,phone,PH00616,P01065,2023-07-22,
OWN00187,phone,PH00355,P01670,2022-03-14,
OWN00188,bank_account,A02144,P00153,2020-03-14,
OWN00189,phone,PH01396,P01393,2018-09-25,
OWN00190,bank_account,A01650,P01534,2021-07-02,
OWN00191,phone,PH02001,P00256,2025-02-12,
OWN00192,vehicle,V00584,P01450,2021-08-28,
OWN00193,phone,PH00349,P01650,2023-08-14,
OWN00194,phone,PH01677,P01921,2024-04-10,
OWN00195,vehicle,V00206,P01065,2023-11-30,
OWN00196,bank_account,A01624,P00206,2024-02-15,
OWN00197,phone,PH00436,P00907,2023-06-07,
OWN00198,bank_account,A02018,P00764,2021-03-25,
OWN00199,vehicle,V00054,P00946,2019-08-28,
OWN00200,bank_account,A00945,P01082,2019-03-31,
OWN00201,vehicle,V00709,P01358,2019-01-26,
OWN00202,vehicle,V00714,P00326,2023-05-28,
OWN00203,vehicle,V00804,P00094,2018-07-25,
OWN00204,vehicle,V00738,P01035,2024-02-18,
OWN00205,phone,PH00390,P01819,2025-03-13,
OWN00206,vehicle,V00337,P01555,2020-06-10,
OWN00207,vehicle,V00534,P01039,2018-07-18,
OWN00208,vehicle,V00541,P01858,2023-01-15,
OWN00209,bank_account,A01645,P01202,2023-10-20,
OWN00210,vehicle,V00359,P00031,2019-04-03,
OWN00211,phone,PH02202,P01110,2021-05-08,
OWN00212,phone,PH00152,P00096,2021-10-26,
OWN00213,vehicle,V00444,P01131,2022-11-22,
OWN00214,vehicle,V00138,P00369,2025-12-12,
OWN00215,phone,PH01827,P00634,2018-04-03,
OWN00216,phone,PH02747,P00121,2018-06-11,
OWN00217,phone,PH02229,P00135,2024-09-13,
OWN00218,bank_account,A01123,P00490,2021-12-05,
OWN00219,bank_account,A01416,P00229,2021-10-31,
OWN00220,bank_account,A01625,P00832,2019-05-20,
OWN00221,phone,PH02073,P01355,2025-05-08,
OWN00222,bank_account,A00099,P01267,2022-07-03,
OWN00223,phone,PH02624,P01982,2021-06-24,
OWN00224,phone,PH01610,P00379,2018-04-27,
OWN00225,phone,PH00028,P01668,2022-11-17,
OWN00226,bank_account,A01677,P01940,2019-01-24,
OWN00227,bank_account,A01731,P00704,2022-09-17,
OWN00228,bank_account,A01754,P01919,2018-06-05,
OWN00229,vehicle,V00844,P01449,2020-04-30,
OWN00230,phone,PH02466,P00247,2023-08-30,
OWN00231,bank_account,A02035,P01592,2020-12-23,
OWN00232,vehicle,V00848,P01959,2018-07-13,
OWN00233,vehicle,V00120,P00125,2025-08-29,
OWN00234,bank_account,A01536,P00685,2018-10-28,
OWN00235,vehicle,V00523,P01429,2022-04-08,
OWN00236,bank_account,A01713,P00852,2019-06-30,
OWN00237,phone,PH01262,P01285,2019-10-23,
OWN00238,bank_account,A01853,P01084,2022-05-17,
OWN00239,bank_account,A00370,P00280,2024-10-18,
OWN00240,bank_account,A01297,P00834,2022-07-06,
OWN00241,phone,PH01210,P01484,2018-07-21,
OWN00242,phone,PH02208,P01482,2023-11-30,
OWN00243,bank_account,A00764,P00819,2021-04-22,
OWN00244,vehicle,V00146,P01736,2024-04-03,
OWN00245,vehicle,V00457,P01662,2021-01-18,
OWN00246,bank_account,A01734,P00001,2023-01-29,
OWN00247,phone,PH01819,P01200,2022-09-05,
OWN00248,bank_account,A00700,P01428,2019-09-09,
OWN00249,bank_account,A01085,P01709,2020-07-20,
OWN00250,bank_account,A02172,P00796,2023-11-05,
OWN00251,phone,PH02599,P00367,2024-02-07,
OWN00252,vehicle,V00544,P01233,2022-01-28,
OWN00253,phone,PH01117,P01850,2018-02-06,
OWN00254,vehicle,V00467,P01525,2018-07-28,
OWN00255,vehicle,V00631,P00778,2024-01-11,
OWN00256,bank_account,A01398,P00452,2021-11-14,
OWN00257,vehicle,V00750,P00550,2019-09-26,
OWN00258,bank_account,A01068,P01671,2021-06-04,
OWN00259,phone,PH01176,P00690,2019-09-01,
OWN00260,phone,PH01512,P01252,2019-07-12,
OWN00261,phone,PH02248,P00651,2023-06-23,
OWN00262,phone,PH01492,P00281,2025-05-09,
OWN00263,bank_account,A00205,P00588,2023-06-18,
OWN00264,phone,PH02418,P00182,2022-09-19,
OWN00265,phone,PH01357,P00564,2018-09-30,
OWN00266,vehicle,V00765,P00580,2025-05-27,
OWN00267,phone,PH02192,P01803,2018-09-15,
OWN00268,vehicle,V00467,P01525,2024-03-21,
OWN00269,bank_account,A00762,P00882,2024-04-22,
OWN00270,bank_account,A01823,P01642,2023-04-09,
OWN00271,vehicle,V00806,P00192,2021-05-24,
OWN00272,vehicle,V00073,P00951,2024-12-23,
OWN00273,phone,PH00204,P00089,2018-08-13,
OWN00274,phone,PH02076,P00126,2019-12-26,
OWN00275,bank_account,A01085,P01709,2020-04-23,
OWN00276,bank_account,A00678,P00441,2018-07-12,
OWN00277,bank_account,A01993,P01052,2023-05-08,
OWN00278,phone,PH00273,P00308,2018-03-14,
OWN00279,bank_account,A00891,P00286,2023-11-28,
OWN00280,vehicle,V00021,P00327,2024-04-09,
OWN00281,bank_account,A00028,P01444,2020-11-18,
OWN00282,phone,PH02030,P01651,2022-03-13,
OWN00283,bank_account,A02186,P00515,2020-09-20,
OWN00284,phone,PH02500,P01012,2025-05-26,
OWN00285,vehicle,V00368,P01347,2019-04-19,
OWN00286,bank_account,A01207,P00549,2020-08-21,
OWN00287,vehicle,V00296,P00390,2025-11-01,
OWN00288,phone,PH01567,P00784,2020-05-01,
OWN00289,bank_account,A02002,P00433,2025-06-19,
OWN00290,vehicle,V00447,P01299,2022-08-09,
OWN00291,bank_account,A01926,P01734,2023-01-06,
OWN00292,bank_account,A00240,P01338,2019-10-23,
OWN00293,phone,PH00901,P00938,2025-12-06,
OWN00294,bank_account,A02154,P00974,2020-07-17,
OWN00295,bank_account,A00472,P00234,2022-12-02,
OWN00296,vehicle,V00016,P00837,2018-02-28,
OWN00297,phone,PH00406,P01812,2024-07-21,
OWN00298,vehicle,V00715,P01685,2023-06-27,
OWN00299,bank_account,A01589,P01053,2023-01-28,
OWN00300,phone,PH02773,P00090,2021-01-02,
OWN00301,vehicle,V00086,P01656,2022-12-29,
OWN00302,bank_account,A00860,P00509,2019-06-28,
OWN00303,phone,PH02457,P01735,2022-09-29,
OWN00304,bank_account,A01013,P00055,2021-08-17,
OWN00305,vehicle,V00606,P00209,2020-10-14,
OWN00306,vehicle,V00173,P00517,2019-12-29,
OWN00307,vehicle,V00432,P00762,2019-06-19,
OWN00308,vehicle,V00730,P01064,2020-03-16,
OWN00309,phone,PH01837,P01596,2025-04-24,
OWN00310,bank_account,A01856,P01496,2025-03-16,
OWN00311,phone,PH01298,P00242,2021-11-17,
OWN00312,bank_account,A02194,P00453,2023-01-04,
OWN00313,bank_account,A00945,P01082,2022-03-23,
OWN00314,bank_account,A00189,P01709,2019-08-29,
OWN00315,bank_account,A01955,P00477,2019-03-12,
OWN00316,vehicle,V00138,P00369,2024-05-01,
OWN00317,phone,PH01909,P01538,2022-04-16,
OWN00318,bank_account,A00686,P00456,2023-02-22,
OWN00319,phone,PH02758,P01597,2024-04-25,
OWN00320,phone,PH01104,P00873,2020-08-16,
OWN00321,bank_account,A01842,P01016,2025-06-03,
OWN00322,bank_account,A01277,P00393,2021-12-24,
OWN00323,vehicle,V00615,P01377,2023-08-10,
OWN00324,phone,PH00577,P00051,2020-10-22,
OWN00325,bank_account,A01925,P00736,2019-07-21,
OWN00326,vehicle,V00051,P00535,2020-05-29,
OWN00327,vehicle,V00797,P01606,2023-03-11,
OWN00328,phone,PH02559,P01391,2019-02-25,
OWN00329,vehicle,V00691,P01840,2019-04-10,
OWN00330,bank_account,A00519,P01742,2022-06-29,
OWN00331,phone,PH00939,P00857,2022-12-25,
OWN00332,bank_account,A00143,P01754,2022-10-30,
OWN00333,bank_account,A00006,P00095,2019-04-28,
OWN00334,vehicle,V00661,P00328,2020-01-01,
OWN00335,vehicle,V00148,P00705,2020-02-14,
OWN00336,vehicle,V00567,P01124,2024-12-23,
OWN00337,vehicle,V00454,P00305,2025-12-04,
OWN00338,bank_account,A00404,P00052,2019-04-01,
OWN00339,vehicle,V00310,P01865,2022-12-11,
OWN00340,vehicle,V00495,P00846,2022-08-04,
OWN00341,vehicle,V00644,P00860,2024-10-10,
OWN00342,phone,PH01773,P00921,2022-05-13,
OWN00343,vehicle,V00421,P01797,2020-09-09,
OWN00344,vehicle,V00843,P00494,2024-04-09,
OWN00345,phone,PH01471,P00262,2023-11-10,
OWN00346,phone,PH02125,P01721,2020-05-19,
OWN00347,phone,PH00040,P01889,2020-07-20,
OWN00348,vehicle,V00250,P01237,2023-07-21,
OWN00349,vehicle,V00154,P00143,2020-05-05,
OWN00350,vehicle,V00272,P01828,2024-05-26,
OWN00351,vehicle,V00163,P00636,2019-05-06,
OWN00352,phone,PH00934,P01832,2023-03-18,
OWN00353,vehicle,V00575,P01806,2018-05-11,
OWN00354,vehicle,V00255,P00280,2024-08-31,
OWN00355,bank_account,A01011,P01739,2018-11-15,
OWN00356,bank_account,A02193,P01257,2021-03-08,
OWN00357,vehicle,V00249,P01474,2024-09-19,
OWN00358,vehicle,V00549,P00937,2025-02-12,
OWN00359,phone,PH02615,P00744,2021-08-12,
OWN00360,bank_account,A00702,P01103,2020-09-22,
OWN00361,bank_account,A01231,P00382,2024-09-05,
OWN00362,vehicle,V00546,P00456,2025-08-09,
OWN00363,bank_account,A00777,P01394,2022-07-31,
OWN00364,bank_account,A01366,P01321,2025-05-22,
OWN00365,phone,PH00364,P01700,2020-07-08,
OWN00366,bank_account,A01433,P00231,2021-11-20,
OWN00367,bank_account,A01368,P00150,2022-01-21,
OWN00368,vehicle,V00506,P01429,2021-05-24,
OWN00369,phone,PH00709,P00451,2024-07-19,
OWN00370,vehicle,V00289,P01080,2018-06-06,
OWN00371,phone,PH00440,P01509,2025-09-07,
OWN00372,vehicle,V00199,P01383,2019-07-11,
OWN00373,phone,PH01301,P01900,2024-03-28,
OWN00374,vehicle,V00539,P01733,2022-05-16,
OWN00375,phone,PH00917,P00062,2025-08-07,
OWN00376,vehicle,V00169,P01687,2018-11-23,
OWN00377,vehicle,V00820,P01350,2022-09-20,
OWN00378,bank_account,A01796,P00049,2022-10-02,
OWN00379,vehicle,V00305,P01785,2018-08-28,
OWN00380,bank_account,A01438,P01555,2024-12-22,
OWN00381,bank_account,A00196,P01183,2021-02-11,
OWN00382,vehicle,V00572,P01651,2024-04-12,
OWN00383,phone,PH02281,P01310,2025-10-26,
OWN00384,vehicle,V00745,P01447,2018-06-11,
OWN00385,vehicle,V00258,P01337,2022-07-18,
OWN00386,vehicle,V00828,P00759,2019-08-06,
OWN00387,bank_account,A02089,P01939,2021-03-13,
OWN00388,vehicle,V00788,P01417,2021-02-14,
OWN00389,vehicle,V00293,P00204,2019-03-15,
OWN00390,phone,PH02219,P01167,2020-01-18,
OWN00391,bank_account,A00699,P00055,2020-08-19,
OWN00392,vehicle,V00767,P01977,2019-07-28,
OWN00393,bank_account,A00086,P00263,2023-11-12,
OWN00394,bank_account,A00374,P00865,2021-12-23,
OWN00395,phone,PH02032,P01266,2025-03-22,
OWN00396,vehicle,V00684,P01283,2020-12-21,
OWN00397,phone,PH01536,P00221,2022-04-22,
OWN00398,bank_account,A00913,P01665,2023-01-11,
OWN00399,vehicle,V00177,P01330,2020-12-03,
OWN00400,bank_account,A01582,P01824,2019-07-23,
OWN00401,phone,PH01831,P00168,2020-06-29,
OWN00402,phone,PH00348,P01259,2023-09-27,
OWN00403,phone,PH00741,P01669,2018-12-04,
OWN00404,phone,PH02322,P01342,2020-09-15,
OWN00405,phone,PH00447,P00614,2021-05-29,
OWN00406,vehicle,V00207,P00959,2021-10-05,
OWN00407,vehicle,V00683,P00193,2024-12-23,
OWN00408,bank_account,A02032,P00274,2021-09-01,
OWN00409,phone,PH02577,P00534,2023-07-09,
OWN00410,phone,PH00184,P00599,2019-06-29,
OWN00411,phone,PH01361,P00670,2020-04-15,
OWN00412,vehicle,V00133,P01034,2020-01-23,
OWN00413,bank_account,A00960,P00723,2023-06-18,
OWN00414,vehicle,V00700,P00119,2021-10-12,
OWN00415,vehicle,V00553,P00334,2020-04-22,
OWN00416,phone,PH01908,P01302,2020-05-18,
OWN00417,phone,PH00514,P00125,2023-06-16,
OWN00418,vehicle,V00671,P00793,2024-08-15,
OWN00419,bank_account,A00068,P01473,2021-03-25,
OWN00420,bank_account,A00519,P01742,2024-04-28,
OWN00421,bank_account,A00088,P00003,2023-02-09,
OWN00422,phone,PH00673,P00611,2021-09-30,
OWN00423,vehicle,V00104,P01653,2021-01-30,
OWN00424,bank_account,A01384,P00110,2024-03-15,
OWN00425,bank_account,A01471,P00850,2019-04-10,
OWN00426,phone,PH00220,P00021,2020-03-14,
OWN00427,vehicle,V00692,P00937,2023-07-30,
OWN00428,phone,PH01031,P00785,2019-05-17,
OWN00429,vehicle,V00415,P00748,2022-11-13,
OWN00430,vehicle,V00214,P01491,2022-01-30,
OWN00431,phone,PH00153,P00644,2022-12-07,
OWN00432,bank_account,A01641,P00388,2020-04-26,
OWN00433,phone,PH00687,P00882,2020-03-08,
OWN00434,bank_account,A01496,P01225,2021-04-22,
OWN00435,bank_account,A02199,P00445,2023-11-01,
OWN00436,phone,PH02441,P00914,2025-07-29,
OWN00437,phone,PH00504,P00593,2018-11-28,
OWN00438,phone,PH02377,P00302,2018-08-29,
OWN00439,bank_account,A01843,P00947,2025-01-01,
OWN00440,vehicle,V00149,P01956,2021-08-23,
OWN00441,bank_account,A01108,P01235,2018-12-24,
OWN00442,phone,PH00364,P01700,2021-11-05,
OWN00443,bank_account,A00559,P00989,2019-10-08,
OWN00444,vehicle,V00671,P00793,2021-08-08,
OWN00445,vehicle,V00017,P00345,2019-12-26,
OWN00446,bank_account,A00025,P00711,2022-10-31,
OWN00447,phone,PH00502,P00625,2019-12-31,
OWN00448,phone,PH02027,P01237,2018-11-25,
OWN00449,bank_account,A01960,P00514,2018-10-07,
OWN00450,bank_account,A00229,P01799,2019-12-19,
OWN00451,vehicle,V00829,P01125,2019-10-11,
OWN00452,phone,PH00921,P01922,2024-01-18,
OWN00453,vehicle,V00460,P00877,2023-02-28,
OWN00454,phone,PH00436,P00907,2024-07-19,
OWN00455,bank_account,A00177,P01923,2019-11-18,
OWN00456,bank_account,A00595,P00783,2024-05-10,
OWN00457,bank_account,A02019,P01321,2024-08-19,
OWN00458,bank_account,A00464,P01105,2022-02-03,
OWN00459,phone,PH02098,P00510,2020-08-29,
OWN00460,vehicle,V00035,P01837,2021-03-26,
OWN00461,bank_account,A01930,P00583,2018-12-24,
OWN00462,vehicle,V00546,P00456,2025-06-06,
OWN00463,bank_account,A02148,P00199,2018-07-27,
OWN00464,vehicle,V00721,P01954,2019-12-25,
OWN00465,phone,PH00131,P01557,2023-12-17,
OWN00466,phone,PH00121,P01881,2023-12-15,
OWN00467,vehicle,V00696,P01887,2019-12-14,
OWN00468,bank_account,A01486,P01924,2025-06-12,
OWN00469,vehicle,V00527,P01022,2019-08-30,
OWN00470,phone,PH00100,P00535,2021-09-17,
OWN00471,phone,PH00349,P01650,2019-05-15,
OWN00472,bank_account,A02055,P01804,2023-01-25,
OWN00473,bank_account,A00461,P00334,2021-07-06,
OWN00474,bank_account,A01226,P01867,2018-04-23,
OWN00475,vehicle,V00585,P01654,2021-03-13,
OWN00476,phone,PH01694,P00037,2020-10-30,
OWN00477,bank_account,A00095,P00243,2022-08-06,
OWN00478,bank_account,A02052,P01442,2025-01-01,
OWN00479,phone,PH02542,P01495,2018-01-21,
OWN00480,phone,PH00402,P01667,2018-12-25,
OWN00481,bank_account,A01728,P00321,2018-01-29,
OWN00482,bank_account,A00254,P00792,2022-12-10,
OWN00483,bank_account,A00461,P00334,2021-06-09,
OWN00484,vehicle,V00396,P00162,2021-09-08,
OWN00485,vehicle,V00743,P00626,2023-06-16,
OWN00486,phone,PH02285,P01556,2021-02-11,
OWN00487,vehicle,V00146,P01736,2020-02-23,
OWN00488,vehicle,V00345,P00880,2020-11-11,
OWN00489,phone,PH02120,P00926,2025-07-24,
OWN00490,phone,PH02794,P01395,2018-06-09,
OWN00491,bank_account,A00149,P01106,2020-04-10,
OWN00492,phone,PH02329,P00784,2022-04-25,
OWN00493,vehicle,V00407,P01540,2020-09-07,
OWN00494,bank_account,A01476,P00865,2018-10-21,
OWN00495,phone,PH01939,P01753,2025-05-03,
OWN00496,bank_account,A01985,P00849,2024-11-20,
OWN00497,phone,PH02006,P01131,2020-10-03,
OWN00498,vehicle,V00822,P01034,2021-01-07,
OWN00499,bank_account,A00330,P01764,2020-05-27,
OWN00500,phone,PH00026,P01385,2025-11-02,
OWN00501,phone,PH00790,P00246,2024-07-09,
OWN00502,bank_account,A01175,P00752,2020-12-20,
OWN00503,bank_account,A00638,P00873,2022-02-16,
OWN00504,vehicle,V00789,P01322,2024-10-18,
OWN00505,vehicle,V00682,P01747,2025-04-05,
OWN00506,bank_account,A01732,P01708,2019-06-18,
OWN00507,bank_account,A00427,P01929,2021-06-25,
OWN00508,bank_account,A01949,P00974,2022-07-17,
OWN00509,vehicle,V00363,P01035,2020-10-20,
OWN00510,vehicle,V00428,P01224,2018-01-18,
OWN00511,vehicle,V00517,P01439,2022-01-10,
OWN00512,bank_account,A00473,P00873,2021-11-08,
OWN00513,vehicle,V00219,P01902,2025-05-16,
OWN00514,bank_account,A00035,P01149,2019-04-20,
OWN00515,bank_account,A01600,P00477,2020-05-04,
OWN00516,phone,PH02111,P00950,2019-01-28,
OWN00517,phone,PH02088,P01012,2020-05-19,
OWN00518,bank_account,A01514,P01497,2023-07-23,
OWN00519,bank_account,A00153,P00099,2021-06-07,
OWN00520,vehicle,V00800,P00567,2024-11-01,
OWN00521,vehicle,V00612,P01051,2025-01-02,
OWN00522,bank_account,A01753,P00369,2019-12-22,
